title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Zamek w Kazimierzu Dolnym ",Jadwiga Teodorowicz-Czerepińska,"
turystyka, mapy, atlasy ",Krajowa Agencja Wydawnicza,,"
Książka Jadwigi Teodorowicz-Czerepińskiej na temat zespołu fortyfikacji obronnych z XIII i XIV wieku mieszczącego się w Kazimierzu Dolnym nad Wisłą. ",,"
1987-01-01 ","
1987-01-01 ","
38 ","
polski ",,,
"
Dlaczego biały pudel ma czarny nos? ",Stanislav Starikovič,"
nauki przyrodnicze (fizyka, chemia, biologia, itd.) ",Nasza Księgarnia,"
8310090323 ",,"
Poczemu u biełogo pudelja czernyj nos? ","
1987-01-01 ","
1987-01-01 ","
99 ","
polski ","
H.Garbarczyk ",,
"
Pielęgnowanie zdrowia i urody ",Anna Koźmińska-Kubarska,"
poradniki ",Państwowy Zakład Wydawnictw Lekarskich,"
8320009480 ",,,"
1987-01-01 ","
1972-01-01 ",,"
polski ",,,
"
Studia nad etnogenezą Słowian i kulturą Europy wczesnośredniowiecznej, t. I ",praca zbiorowa,"
historia ",Ossolineum,,,,"
1987-01-01 ","
1987-01-01 ","
280 ","
polski ",,,
"
Na początku ",Juliusz St. Synowiec OFMCONV,"
religia ",Wydawnictwo Akademii Teologii Katolickiej,,,,"
1987-01-01 ","
1987-01-01 ","
296 ","
polski ",,,
"
Julian Fałat ",Jerzy Malinowski,"
biografia, autobiografia, pamiętnik ",Krajowa Agencja Wydawnicza,"
8303016962 ","
Publikacja książkowa poświęcona Julianowi Fałatowi (1853-1929), jednemu z najwybitniejszych polskich akwarelistów. ",,"
1987-01-01 ","
1985-01-01 ","
46 ","
polski ",,,
"
Rozśpiewane bajki. ",praca zbiorowa,"
utwór dramatyczny (dramat, komedia, tragedia) ",Centralny Ośrodek Metodyki Upowszechniania Kultury,"
8370100295 ","
Scenariusze słowno - muzyczne spektakli dla dzieci. ",,"
1987-01-01 ","
1987-01-01 ","
270 ","
polski ",,,
"
Róże miniaturowe, pienne : Do ogródka i do wazonu ",Helena Wiśniewska-Grzeszkiewicz,"
flora i fauna ",Państwowe Wydawnictwo Rolnicze i Leśne,"
8309011202 ","
poradnik ",,"
1987-01-01 ","
1987-01-01 ","
52 ","
polski ",,,
"
Hafciarstwo ",Stanisława Kurdziel,"
rękodzieło ",Wydawnictwo Spółdzielcze,"
832090482X ","
poradnik ",,"
1987-01-01 ","
1987-01-01 ","
176 ","
polski ",,,
"
Sól Wieliczki ",Krystyna Kolasa,"
popularnonaukowa ",Wydawnictwa Geologiczne,"
8322002866 ","
Cienka objętościowo publikacja książkowa przedstawiająca Kopalnię Soli w Wieliczce. ",,"
1987-01-01 ","
1987-01-01 ","
30 ","
polski ",,,
