title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Wygnana córka ",Jadwiga Courths-Mahler,"
literatura piękna ",Oficyna Wydawnicza Akapit,"
838571541X ","
Leonora Strasser, żona właściciela wielkiej firmy handlowej, kocha od dawna znakomitego skrzypka Karola Magnusa i dla niego opuszcza swego męża Rudolfa, pozostawiając przy nim sześcioletnią córkę Dagmarę. Rudolf, trawiony obsesyjnymi wątpliwościami, czy Dagmara jest rzeczywiście jego córką, decyduje się na okrutny krok: wypędza z domu dziecko, wysyłając je na wychowanie do dalekich krewnych za granicę. Kilkunastoletni pobyt w odludnym kasztelu staje się dla Dagmary gehenną, która zatruwa jej dzieciństwo i młodość. Kiedy Rudolf pojmuje wreszcie, jak był wobec dziecka niesprawiedliwy i usiłuje naprawić swój błąd, jest już za późno, a nad głową Dagmary zbierają się groźne chmury ... ","
Die verstossene Tochter ","
1993-01-01 ","
1993-01-01 ","
309 ","
polski ","
Ireneusz Maślarz ",,
"
Poezje wybrane ",Arthur Rimbaud,"
poezja ",Ludowa Spółdzielnia Wydawnicza,"
 8320544661 ",,,"
1993-01-01 ","
1969-01-01 ","
207 ","
polski ","
Artur Międzyrzecki ","

Stanisław Barańczak napisał gdzieś, że Rimbaud był ostatnim wielkim poetą, który utożsamiał pisanie z wyswobadzaniem się z dławiącej monotonii realności, rozrywaniem jej seriami iluminacji, rozbłysków Nieoczekiwanego. Może dlatego, że osiągnął szczyty poezji innym już niedostępne. Otworzył puszkę Pandory, z której wytrysnęły wizje, którym dana jest nieśmiertelność.

Kim był Jean Arthur Rimbaud, legendarny „mistyk w stanie dzikim”, jak nazwał go Paul Claudel? Buntownik przeciw wszelkim konwencjom swej epoki. Gardzący społecznym porządkiem skandalista, szokujący otoczenie ekscentrycznym zachowaniem, błąkający się ulicami Paryża włóczęga. Szaleniec bez domu i przystani. Pijany pielgrzym w zakłamanej rzeczywistości.

Kiedy po raz pierwszy czytałem „Statek pijany” miałem 15 lat i rzeczywiście upiłem się kaskadą halucynacji, które wyzwalał ten utwór stanowiący dla mnie do dziś najwyższe osiągnięcie poetyckie wszech czasów. Poezję Rimbauda ożywiają intensywne, wymowne obrazy, wybujała metaforyka, eksperymenty ze składnią i leksyką, przełamywanie barier ówczesnej tradycji i retoryki. Od buntowniczych wierszy po prozatorskie poematy, ulegający nagłym inspiracjom i olśnieniom, trawiony wewnętrznym ogniem orgiastycznej wyobraźni przeszedł Arthur Rimbaud niepokorną ścieżkę poety przeklętego, by ostatecznie zmierzyć się z życiową klęską, która sprawiła, że wybrał ryzykowny los handlarza bronią.

Lektura tych wierszy inspirowała mój własny, toute proportion gardee okres rimbaudowski i była zapowiedzią podobnej klęski w późniejszych latach. Nie da się jednak wyrugować z głębi umysłu młodzieńczych fascynacji utworami takimi jak Dzieciństwo, Ręce Joanny Marii, Siedmioletni poeci. Te pozostaną na zawsze jako poetycka podszewka duszy, której nie samą poezją przyszło żyć. Choć chciałoby się, że z całości ostała się tylko ona. 

Stanisław Barańczak napisał gdzieś, że Rimbaud był ostatnim wielkim poetą, który utożsamiał pisanie z wyswobadzaniem się z dławiącej monotonii realności, rozrywaniem jej seriami iluminacji, rozbłysków Nieoczekiwanego. Może dlatego, że osiągnął szczyty poezji innym już niedostępne. Otworzył puszkę Pandory, z której wytrysnęły wizje, którym dana jest nieśmiertelność.

Kim był... 

więcej



mniej





Pokaż mimo to


;

Rewelacja. Kompletnym skandalem jest, że na dzień dzisiejszy ciężko kupić cokolwiek Rimbaud po polsku, w innej formie niż używane wydania sprzed minimum 20-25 lat. 

Rewelacja. Kompletnym skandalem jest, że na dzień dzisiejszy ciężko kupić cokolwiek Rimbaud po polsku, w innej formie niż używane wydania sprzed minimum 20-25 lat. 



Pokaż mimo to


","
Ale zegar nigdy nie wybije godziny samego tylko bólu. "
"
Słońce Jamajki ",W.E.D. Ross,"
literatura obyczajowa, romans ",Aramis,,"
""Laura Frazer po raz pierwszy zobaczyła „Królową Oceanu” wysiadając z taksówki, którą przyjechała do Doków Nr 5 przy Pięćdziesiątej Siódmej Ulicy. Było styczniowe popołudnie i biały statek pasażerski błyszczał w zachodzącym słońcu. Często czytała o odbywanych przez niego rejsach w dziale podróży „New York Timesa” i oglądała publikowane przy takich relacjach zdjęcia. A teraz widziała ten statek w porcie, nie dość tego, miała nim odbyć podróż na Karaiby jako pielęgniarka pokładowa. To wszystko przyszło tak nagle. Laura pracowała jako pielęgniarka prywatna w East Side Hospital, a zlecenia otrzymywała od agencji, w której była zarejestrowana. I oto ta agencja załatwiła jej pracę na pokładzie Królowej Oceanu..."" ","
Sun of Jamaica ","
1993-01-01 ","
1993-01-01 ","
164 ","
polski ","
Renata Kochan ",,
"
Anioł ognisty, mój anioł lewy ",Jerzy Pietrkiewicz,"
literatura piękna ",Norbertinum,"
8385131361 ","
Bohaterem powieści, utrzymanej w klimacie Brunona Schulza, jest Wiktor, wywodzący się z pogranicza - na Warmii i Mazurach. Powieść ukazuje jego losy od dzieciństwa, poprzez naukę w seminarium duchownym, z którego ucieka wraz z wybuchem drugiej wojny światowej, pobyt w obozie koncentracyjnym, przyjazd do Anglii, gdzie robi karierę. Dziecięca wiara w dwóch aniołów stróżów, którzy sprawują opiekę nad sierotami, podtrzymuje go i pomaga przeżyć najcięższe chwile. ""Przez całe dzieciństwo myliłem moich aniołów z rodzicami. Śmierć nie zdawała się gorsza od nieobecności. Nie byłem w stanie znieść myśli, że mógłby mi zostać tylko jeden anioł. Strzeżony przez dwóch czułem się bezpieczny"" - mówi w powieści bohater-narrator. ","
That angel burning at my left side ","
1993-01-01 ","
1993-01-01 ","
193 ","
polski ","
Marta Glińska ",,
"
Okultyzm w sztuce ",Owen S. Rachleff,"
sztuka ",,"
83-85440-12-7 ",,"
The occult in art ","
1993-01-01 ","
1993-01-01 ","
247 ","
polski ","
Jerzy Korpanty, Iwona Liberek ",,
"
Jak malować ",Jose M. Parramon,"
sztuka ",Galaktyka,"
83-86447-35-4 ","
Pierwsze roki w malarstwie artystycznym. ","
primeros passos en pintura artistica ","
1993-01-01 ","
1993-01-01 ","
112 ","
polski ","
Elżbieta Michalik ",,
"
Między naturą a historią. Malarstwo Caspara Davida Friedricha ",Tadeusz J. ŇĽuchowski,"
sztuka ",Polskie Pismo i KsińÖŇľka,"
9788385360063 ","
Monografia poŇõwińôcona Casparowi Davidowi Friedrichowi, niemieckiego malarza epoki wczesnego romantyzmu. ",,"
1993-01-01 ","
1993-01-01 ","
136 ",,,"

Jest to pierwsza wydana w Polsce monografia C.D.Friedricha (1774-1840). Cieszńô sińô, Ňľe powstaŇāa, ŇľaŇāujńô jednak, Ňľe nie jest napisana w spos√≥b bardziej przystńôpny dla szarego miŇāoŇõnika sztuki. Szkoda r√≥wnieŇľ, Ňľe jest tak skromniutko wydana. To niewielka ksińÖŇľeczka z czarno-biaŇāymi reprodukcjami obraz√≥w, kt√≥re zupeŇānie nie wprowadzajńÖ odbiorcy w klimat ""dziania sińô natury"". A przecieŇľ wŇāaŇõnie uchwycenie momentu w naturze, kt√≥ry miaŇā wskazywańá przeszŇāoŇõńá i zapowiadańá przyszŇāoŇõńá byŇāo lejtmotywem malarstwa Friedricha. Dla znawc√≥w tematu. 

Jest to pierwsza wydana w Polsce monografia C.D.Friedricha (1774-1840). Cieszńô sińô, Ňľe powstaŇāa, ŇľaŇāujńô jednak, Ňľe nie jest napisana w spos√≥b bardziej przystńôpny dla szarego miŇāoŇõnika sztuki. Szkoda r√≥wnieŇľ, Ňľe jest tak skromniutko wydana. To niewielka ksińÖŇľeczka z czarno-biaŇāymi reprodukcjami obraz√≥w, kt√≥re zupeŇānie nie wprowadzajńÖ odbiorcy w klimat ""dziania sińô... 

wińôcej



mniej





PokaŇľ mimo to


",
"
Zapiekanki zrumienione specjały i suflety ",August Oetker,"
kulinaria, przepisy kulinarne ",Świat Książki,"
8371291590 ",,,"
1993-01-01 ","
1993-01-01 ",,"
polski ",,,
"
Violetta Villas - tygrysica z Magdalenki ",Witold Filler,"
biografia, autobiografia, pamiętnik ",Dom Wydawniczy Szczepan Szymański,"
8385606068 ","
,, Tygrysica z Magdalenki,, to efekt wieloletniej ,bliskiej współpracy Witolda Fillera z Wiolettą Villas.Znajdziesz w niej nieznane dotąd szczegóły życia i kariery wielkiej kontrowersyjnej artystki. ",,"
1993-01-01 ","
1993-01-01 ","
166 ","
polski ",,"

Książka utwierdziła mnie w przekonaniu, że pani Violetta była niezwykle wrażliwą osobą, która poprzez swój trudny, zawsze oparty na emocjach charakter nie potrafiła sobie zjednać ludzi. Do tego obdarzona wielkim talentem, który miała okazję prezentować także w Vegas pośród największych gwiazd tego miejsca, mogła liczyć głównie na fałszywych i zazdrosnych osobników wokół. Nieokiełznany temperament nie pozwolił jej się związać z nikim na dłużej ponieważ nikt nie mógł znieść fochów divy. Żal mi jej bo przez to, że nie chciała lub nie umiała słuchać, nie trafiła na nikogo kto by jej pokazał jak dzielić z kimś życie na dobre i na złe. Samotność pani Violetty była wynikiem jej działań. Niemniej książka dość chaotyczna i w zasadzie wystarczy obejrzeć kilka reportaży i wywiadów na Youtube by ją poznać bez czytania. 

Książka utwierdziła mnie w przekonaniu, że pani Violetta była niezwykle wrażliwą osobą, która poprzez swój trudny, zawsze oparty na emocjach charakter nie potrafiła sobie zjednać ludzi. Do tego obdarzona wielkim talentem, który miała okazję prezentować także w Vegas pośród największych gwiazd tego miejsca, mogła liczyć głównie na fałszywych i zazdrosnych osobników wokół.... 

więcej



mniej





Pokaż mimo to


;

Bardzo chciałem mieć tę książkę. Dziwi mnie fakt, że o Villas praktycznie nie ma książek. Gdyby była Amerykanką - możnaby dostać o niej albumy, pamiętniki, relacje, biografie, zbiór wycinków. Ale była Polką, do tego tragicznie niedocenioną. Villas to szamanka, jedyna, prawdziwa diva, kłamczucha jakich mało, ikona. Ta książka jest skąpa, zresztą pisana ponoć pod bacznym okiem artystki, aż do momentu, kiedy pokłóciła się z autorem i wtedy dopiero napisał kilka zdań, które z pewnością nie przypadłyby jej do gustu. To taki trochę literacki lumpeks. Mnie kojarzy się z tekstem z gazet z PRL'u. Nie ma w niej nic odkrywczego, autor czasami kompletnie gubi się w zeznaniach, to wszystko jest nijakie, miałkie, o dupę obić. Brawa za ciekawe zdjęcia. No i fakt, że jest to pozycja praktycznie niemożliwa do dostania. Unikat. Mam, nie oddam, ale nie wrócę do tej książki, tak jak chętnie wrócę do pozycji ""Violetta Villas. Nie mam nic do ukrycia"". Mam nadzieję, że w bliskiej przyszłości, ktoś zbierze wszystkie fotografie, wspomnienia, pamiętniki, bazgroły i wyda upasione tomisko o Villas. Taki literacki pomnik jej świetności. Na który Violetta zasługuje. 

Bardzo chciałem mieć tę książkę. Dziwi mnie fakt, że o Villas praktycznie nie ma książek. Gdyby była Amerykanką - możnaby dostać o niej albumy, pamiętniki, relacje, biografie, zbiór wycinków. Ale była Polką, do tego tragicznie niedocenioną. Villas to szamanka, jedyna, prawdziwa diva, kłamczucha jakich mało, ikona. Ta książka jest skąpa, zresztą pisana ponoć pod bacznym... 

więcej



mniej





Pokaż mimo to


;

Tygrysica z Magdalenki to efekt wieloletniej bliskiej współpracy Witolda Fillera z Violettą Villas.
Znajdziemy w niej nieznane dotąd, szczegóły życia i kariery wielkiej i kontrowersyjnej artystki.

Jest to książka o piosenkarce prawdziwie niezwykłej. I zarazem książka o jeszcze bardziej niezwykłej kobiecie. O kobiecie czy o zjawisku? Chyba jednak to drugie, bo osobowość Violetty Villas do tego stopnia jest określona jej kobiecą ekstrawagancją, iż inaczej trudno ją pojąć. Wielu ludzi artystka ta po prostu drażni, niektórych wręcz śmieszy. Czy ich reakcja nie stanowi aby obiegowej ceny za jej inność? Bo Violetta pozostaje inna niemal we wszystkim. Inaczej się czesze, inaczej się ubiera, inaczej żyje, a przede wszystkim inaczej śpiewa. Fenomen piosenkarki też trudno pojąć, jeśli do rachunku nie wprowadzi się szaleństw kobiety. Dopiero one tłumaczą zagadki artystycznej kariery tej gwiazdy, która podbiła Paryż i Las Vegas, a i do dziś świeciła pełnym blaskiem. 

Postać Violetty Villas szerzej opisałam w książce ""Villas. Nic przecież nie mam do ukrycia"" Tak więc tam można sprawdzić co miała do ukrycia. 

Tygrysica z Magdalenki to efekt wieloletniej bliskiej współpracy Witolda Fillera z Violettą Villas.
Znajdziemy w niej nieznane dotąd, szczegóły życia i kariery wielkiej i kontrowersyjnej artystki.

Jest to książka o piosenkarce prawdziwie niezwykłej. I zarazem książka o jeszcze bardziej niezwykłej kobiecie. O kobiecie czy o zjawisku? Chyba jednak to drugie, bo osobowość... 

więcej



mniej





Pokaż mimo to


;

Ciekawią mnie dziwni ludzie i lubię o nich czytać. Villas w tej książce niewątpliwie przedstawiona jest jako osoba intrygująca. Nie wiem co o niej myśleć. Zawsze uważałam ją za dziwną osobę, która nie zorientowała się, że jej 5 minut już minęło i przebierała się przez całe życie. No i żeby krzyczeć na garderobianą, że nie przypomniała o zdjęciu majtek przed występem, hmmm, dziwna postać. 

Ciekawią mnie dziwni ludzie i lubię o nich czytać. Villas w tej książce niewątpliwie przedstawiona jest jako osoba intrygująca. Nie wiem co o niej myśleć. Zawsze uważałam ją za dziwną osobę, która nie zorientowała się, że jej 5 minut już minęło i przebierała się przez całe życie. No i żeby krzyczeć na garderobianą, że nie przypomniała o zdjęciu majtek przed występem, hmmm,... 

więcej



mniej





Pokaż mimo to


;

Mrrr... 

Mrrr... 



Pokaż mimo to


;

jeśli jest to taka biografia jak ją przedstawia autot to warto ją przeczytać 

jeśli jest to taka biografia jak ją przedstawia autot to warto ją przeczytać 



Pokaż mimo to


;

tu jest fajna recenzja tej książki
http://www.mowimyjak.pl/kultura/ksiazka/biografia-violetty-villas-czy-warto-kupic-przeczytac,19_35659.html
ja kupiłem, przeczytałem
nie żałuje
fajna lektura 

tu jest fajna recenzja tej książki
http://www.mowimyjak.pl/kultura/ksiazka/biografia-violetty-villas-czy-warto-kupic-przeczytac,19_35659.html
ja kupiłem, przeczytałem
nie żałuje
fajna lektura 



Pokaż mimo to


;

Książka napisana głównie w oparciu o materiały prasowe, uboga w konkretniejszą treść. Stylistycznie też nie jest dobrze. 

Książka napisana głównie w oparciu o materiały prasowe, uboga w konkretniejszą treść. Stylistycznie też nie jest dobrze. 



Pokaż mimo to


;

Ciekawa książka o ciekawej osobie. 

Ciekawa książka o ciekawej osobie. 



Pokaż mimo to


",
"
Próba ognia ",Harold Coyle,"
kryminał, sensacja, thriller ",Varia-APD,"
83-85761-00-4 ","
""Bestseller z listy ""New York Timesa"" ukazuje fascynujący obraz współczesnego świata, w którym król narkotykowej mafii w Ameryce Łacińskiej intrygując doprowadza do międzynarodowej konfrontacji."" ","
Trial by fire ","
1993-01-01 ","
1993-01-01 ","
366 ","
polski ","
Stanisław Głąbiński ",,
