title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Czarne kwiaty. Białe kwiaty ",Cyprian Kamil Norwid,"
literatura piękna ",Siedmioróg,"
8371621388 ",,,"
1996-01-01 ","
1996-01-01 ","
62 ","
polski ",,"

Nieobecność, przemilczenie - nigdzie tak pięknie i estetycznie nie mówi się głośno o ciszy. 

Nieobecność, przemilczenie - nigdzie tak pięknie i estetycznie nie mówi się głośno o ciszy. 



Pokaż mimo to


",
"
Rozpad ",Iwona Smolka,"
literatura piękna ",Marabut,,"
Wydanie drugie. Pierwsze ukazało się w drugoobiegowej Oficynie Wydawniczej No2 pod pseudonimem Maria Jarota. ",,"
1996-01-01 ","
1996-01-01 ","
172 ","
polski ",,,
"
Zaślubiny Wschodu z Zachodem ",Bede Griffiths,"
religia ",Zysk i S-ka,"
8371500696 ","
Bede Griffiths, benedyktyn, przez trzydzieści pięć lat przebywał w Indiach, gdzie uczestniczył w pionierskich próbach prowadzenia wspólnoty chrześcijańskiej, naśladującej zwyczaje hinduskiego aśramu oraz przejmującej tamtejsze sposoby życia i myślenia.
Bede Griffiths jest m.in. autorem książek: ""Złota nić"", ""Powrót do środka"", ""Chrześcijański aśram"", ""W poszukiwaniu najwyższej świadomości"".

Głównym wątkiem ""Zaślubin Wschodu z Zachodem"" jest ukazanie korzyści, jakie dla świata mogłyby płynąć z ""zaślubin"" dwóch tradycji: wedyjskiej i judeochrześcijańskiej, wschodniej z jej brakiem przemocy i intuicyjną mądrością oraz zachodniej z jej siłą i racjonalizmem. ","
The Marriage of East and West ","
1996-01-01 ","
1996-01-01 ","
180 ","
polski ","
Grzegorz Jasiński ",,"
Tak oto zaczynamy widzieć, że prawda jest jedna, ale nie ma jednego oblicza, i każda religia jest i była obliczem jednej prawdy, która przejawia się pod postacią różnych znaków i symboli w różnorodnych historycznych tradycjach.
Podobnie każdy Kościół, każda religia, każda ludzka wspólnota jest tylko miejscem postoju, namiotem rozbitym na tej ziemi przez pielgrzymów zdążających do miasta Boga.
Napisałem kiedyś, że dogmaty i sakramenty Kościoła są ""ścianami Jeruzalem"", a wiara – bramą, którą wkraczamy do tego miasta. Jednak, gdy tylko tam wkroczymy, mury i bramy znikają, ponieważ sama wiara musi przeminąć. "
"
Prymat dobra ",Iris Murdoch,"
filozofia, etyka ",Znak,"
83-7006-569-4 ","
Na książkę składają się eseje: O „Bogu” i „dobru”; O idei doskonałości; Prymat dobra nad innymi pojęciami.
Autorka porusza w nich krąg zagadnień bliski innej wielkiej pisarce, Simone Weil: miłość, uwaga, pokora, śmierć, dobro, wolność, prawda. ","
The Sovereignty of Good ","
1996-01-01 ","
1996-01-01 ","
126 ","
polski ","
Andrzej Pawelec ",,
"
Dziesięciu przeciw kremlowi ",Heinz G. Konsalik,"
reportaż ",Bellona,"
83-11-08536-6 ",,"
Sie waren Zehn ","
1996-01-01 ","
1996-01-01 ","
472 ","
polski ",,,
"
Ciotka Ester ",Arie Aksztajn,"
literatura piękna ",Futura Press,"
8386058641 ","
Posłowiem opatrzył Arnold Mostowicz. ","
Dodah Ester ","
1996-01-01 ","
1996-01-01 ","
255 ","
polski ","
Sara Bande-Celnik ","

Książka to opowieść o bałuckich Żydach jeszcze sprzed czasów getta i komór gazowych. Jednak, przede wszystkim jest to opowieść o brutalnym i smutnym dzieciństwie Aksztajna. 

Książka to opowieść o bałuckich Żydach jeszcze sprzed czasów getta i komór gazowych. Jednak, przede wszystkim jest to opowieść o brutalnym i smutnym dzieciństwie Aksztajna. 



Pokaż mimo to


;

Łódź bez pudru 

Łódź bez pudru 



Pokaż mimo to


",
"
I znowu zapiał kur. Krytyczna historia Kościoła. Tom I ",Karlheinz Deschner,"
historia ",Uraeus,"
8385732381 ","
Autor biegŇāy w kwestiach teologicznych i metodach pracy naukowej zebraŇā w swym dziele aktualnńÖ sumńô wiedzy o dziejach KoŇõcioŇāa oraz interpretacji zar√≥wno owych dziej√≥w, jak i samego Nowego Testamentu. CzoŇāowi teologowie europejscy zaakceptowali przedstawionńÖ przez Deschnera genezńô papiestwa i katolicyzmu rzymskiego, obraz wrogoŇõci do kobiet i antysemityzmu Ojc√≥w KoŇõcioŇāa, a takŇľe prezentacjńô kultu Ňõwińôtych oraz informacje o przeŇõladowaniach czarownic i heretyk√≥w. Godna uznania przez Ňõwiat naukowy jest miara, jakńÖ Deschner przykŇāada do oceny dziej√≥w chrzeŇõcijaŇĄstwa, konfrontujńÖc jego wypaczonńÖ postańá wsp√≥ŇāczesnńÖ z pierwotnymi naukami Jezusa. KsińÖŇľka przeznaczona zar√≥wno dla teolog√≥w, jak i dla laik√≥w. ",,"
1996-01-01 ","
1996-01-01 ","
522 ",,,"

KsińÖŇľka osińÖga niebotyczne ceny na rynku wt√≥rnym. A poniewaŇľ udaŇāo mi sińô jńÖ kupińá w dobrej cenie, to od razu zabraŇāem sińô za czytanie. Nie mam zbyt wielkiego doŇõwiadczenia z literaturńÖ humanistycznńÖ, bardziej interesujńÖ mnie nauki przyrodnicze. MoŇľe dlatego ta ksińÖŇľka wydaje mi sińô maŇāo wiarygodna. I dziwnie napisana. JuŇľ we wstńôpie zapaliŇāa mi czerwona lampka gdy przeczytaŇāem ""Ponadto wielu specjalist√≥w sprawdzaŇāo - na mojńÖ proŇõbńô - zgodnoŇõńá tekstu z faktami historycznymi."" Jakich specjalist√≥w? Brak przypisu. Czytamy dalej ""GŇāowna czńôŇõńá ksińÖŇľki zostaŇāa skrupulatnie przestudiowana przez jednego z najlepszych znawc√≥w staroŇľytnego chrzeŇõcijaŇĄstwa wŇõr√≥d teolog√≥w"". Znowu - co to za znawca? Skoro jeden, to moŇľna byŇāo chociaŇľ wymienińá jego nazwisko. Ale nie ma. Musimy wierzyńá autorowi na sŇāowo. Dalej we wstńôpnie jest wińôcej ""wybitnych historyk√≥w"", kt√≥rych nazwisk niestety nie poznamy. 

RozdziaŇā pierwszy - Negacja historycznoŇõci Jezusa. Bardzo kr√≥tki rozdzialik liczńÖcy zaledwie 4,5 strony. PoŇāowa tego rozdziaŇāu, to podawanie opinii autorytet√≥w - tutaj juŇľ wymienionych z nazwiska - o nieistnieniu Jezusa. Musimy wierzyńá tym autorytetom na sŇāowo. Bo to znane nazwiska albo ""widzńÖc w nim czŇāowieka prawdom√≥wnego i na sw√≥j spos√≥b genialnego"". Druga poŇāowa rozdziaŇāu to juŇľ argument, Ňľe wsp√≥Ňāczesne Jezusowi Ňļr√≥dŇāa niechrzeŇõcijaŇĄskie nie wspominajńÖ o nim. I to jest OK.

Byńá moŇľe moŇľna w tej ksińÖŇľce znaleŇļńá wartoŇõciowe informacje. Ale trzeba sińô przebińá przez masńô nic nie znaczńÖcych twierdzeŇĄ. Przez to cińôŇľko mi ocenińá wiarygodnoŇõńá tej ksińÖŇľki. 

KsińÖŇľka osińÖga niebotyczne ceny na rynku wt√≥rnym. A poniewaŇľ udaŇāo mi sińô jńÖ kupińá w dobrej cenie, to od razu zabraŇāem sińô za czytanie. Nie mam zbyt wielkiego doŇõwiadczenia z literaturńÖ humanistycznńÖ, bardziej interesujńÖ mnie nauki przyrodnicze. MoŇľe dlatego ta ksińÖŇľka wydaje mi sińô maŇāo wiarygodna. I dziwnie napisana. JuŇľ we wstńôpie zapaliŇāa mi czerwona lampka gdy... 

wińôcej



mniej





PokaŇľ mimo to


;

WspaniaŇāa analiza poczńÖtk√≥w chrzeŇõcijaŇĄstwa. Przekaz pŇāynńÖcy z treŇõci jest (stricte) historyczny, poparty wieloma przypisami. Zdecydowanie wartoŇõciowa lektura i warta uwaŇľnego przeczytania. 

WspaniaŇāa analiza poczńÖtk√≥w chrzeŇõcijaŇĄstwa. Przekaz pŇāynńÖcy z treŇõci jest (stricte) historyczny, poparty wieloma przypisami. Zdecydowanie wartoŇõciowa lektura i warta uwaŇľnego przeczytania. 



PokaŇľ mimo to


;

To rzeczowa i bardzo wartoŇõciowa ksińÖŇľka. Moim zdaniem powinna byńá lekturńÖ obowińÖzkowńÖ dla uczni√≥w szk√≥Ňā Ňõrednich. 

W pierwszym tomie autor koncentruje sińô na powstaniu i najwczeŇõniejszym okresie chrzeŇõcijaŇĄstwa. PoczynajńÖc od przedstawienia Jezusa z czysto historycznego punktu widzenia, poprzez kolejne ewangelie i Ňõlady pozostawione historii przez pierwszych myŇõlicieli chrzeŇõcijaŇĄskich. Przedstawia Ňľycie i wiarńô pierwszych wsp√≥lnot oraz zmiany jakie nastńôpowaŇāy w cińÖgu kilku pierwszych pokoleŇĄ chrzeŇõcijan od czasu Ňõmierci Chrystusa po uznanie chrzeŇõcijaŇĄstwa religińÖ paŇĄstwowńÖ Cesarstwa Rzymskiego. Wraz z biegiem lat i rozpowszechnianiem sińô nowej religii wierni odeszli od oczekiwania szybkiego powrotu swojego mistrza na rzecz spotkania sińô z nim po wŇāasnej Ňõmierci. Chrystus nie byŇā juŇľ postrzegany jedynie jako nauczyciel wskazujńÖcy drogńô lecz staje sińô Synem BoŇľym, postacińÖ stopniowo dor√≥wnujńÖcńÖ Bogu Izraela Jahwe by wraz z nim i Duchem Ňöwińôtym spleŇõńá sińô w jednorodnńÖ Tr√≥jcńô. Coraz wińôkszy wpŇāyw na czysto judaistycznńÖ naukńô Jezusa majńÖ elementy pogaŇĄskie Ňõwiata, w kt√≥rym sińô nowa wiara rozprzestrzenia. Tworzy sińô koŇõcielna hierarchia ze swoim przyw√≥dcńÖ ‚Äď biskupem Rzymu. Na skutek przeŇõladowaŇĄ pojawia sińô i szybko nabiera znaczenia pojńôcie mńôczennika, p√≥Ňļniej r√≥wnieŇľ Ňõwińôtego lecz takŇľe wobec r√≥Ňľnic w pojmowaniu wiary pojńôcie kacerza. Jak chyba wszńôdzie powstajńÖ r√≥Ňľnice interes√≥w coraz silniejszych jednostek‚Ä¶ Pierwotny Chrystus i jego nauki zdajńÖ sińô tracińá na znaczeniu, stajńÖ sińô tŇāem czy spoiwem na kt√≥rym tworzone sńÖ nowe dogmaty o kt√≥rych Jezusowi zapewne sińô nawet nie ŇõniŇāo.

Wszyscy chyba znajńÖ dziecińôcńÖ zabawńô w gŇāuchy telefon. Grupka dzieci ustawia sińô w szereg. Pierwszy wymyŇõla hasŇāo po czym przekazuje je szeptem nastńôpnemu. Zabawa trwa aŇľ przekazywana treŇõńá dotrze do ostatniego dziecka, kt√≥re m√≥wi na gŇāos co usŇāyszaŇāo. WyobraŇļmy sobie teraz, Ňľe nie mamy dzieci tylko grupńô teolog√≥w czy myŇõlicieli chrzeŇõcijaŇĄskich, z kt√≥rych kaŇľdy pr√≥buje po swojemu zinterpretowańá usŇāyszanńÖ nowinńô. CoŇõ do niej dodańá bńÖdŇļ coŇõ przemilczeńá tak by nowa treŇõńá bardziej mu odpowiadaŇāa. JeŇľeli ma pecha zostanie okrzyknińôty kacerzem i wygnany z miasta lecz jeŇõli mu sińô poszczńôŇõci jego myŇõl znajdzie sińô w kanonie doktryn KoŇõcioŇāa. Rzesze wiernych, c√≥Ňľ p√≥jdńÖ na Ňõlepo za sŇāowami swojego pasterza chońáby to co gŇāosi byŇāo w skrajnej sprzecznoŇõci do pierwotnej nauki tego, kogo czczńÖ i uwaŇľajńÖ za Boga. 

To rzeczowa i bardzo wartoŇõciowa ksińÖŇľka. Moim zdaniem powinna byńá lekturńÖ obowińÖzkowńÖ dla uczni√≥w szk√≥Ňā Ňõrednich. 

W pierwszym tomie autor koncentruje sińô na powstaniu i najwczeŇõniejszym okresie chrzeŇõcijaŇĄstwa. PoczynajńÖc od przedstawienia Jezusa z czysto historycznego punktu widzenia, poprzez kolejne ewangelie i Ňõlady pozostawione historii przez pierwszych myŇõlicieli... 

wińôcej



mniej





PokaŇľ mimo to


;

KaŇľdy ma swojńÖ biblińô i ja swojńÖ znalazŇāem. Ta pozycja to krytyczna analiza chrzeŇõcijaŇĄstwa skupiajńÖca sińô na takich kwestiach jak ta dotyczńÖca historycznoŇõci Jezusa, na powstaniu i ewolucji pisma Ňõwińôtego, rozwoju tej religii, rozlicznych kultach i mitach z nińÖ zwińÖzanych. Praca ta napisana jest przez czŇāowieka o gargantuicznej wiedzy, kt√≥ry wykonaŇā takich teŇľ rozmiar√≥w pracńô przy jej powstawaniu. CaŇāoŇõńá jest udokumentowana tysińÖcami przypis√≥w prowadzńÖcych nas do pism Ňļr√≥dŇāowych. Autor rozkŇāada krytycznym okiem na czynniki pierwsze wszystko co zwińÖzane byŇāo i jest z wiarńÖ katolickńÖ. Mierzy sińô z kaŇľdym mitem z nińÖ kojarzonym. To co mu wyszŇāo dziwi, szokuje, przeraŇľa, zniesmacza, Ňľenuje, Ňõmieszy, czasami bywa wrńôcz nie do uwierzenia, a najlepsze w tym wszystkim jest to, Ňľe caŇāoŇõńá jego wizji wydaje sińô sp√≥jna, logiczna i prawdopodobna. Mnie kupiŇā swojńÖ analizńÖ bez reszty chońá akurat w tym przypadk√≥w nie miaŇā specjalnie pod g√≥rńô. Nie polecam pozycji osobom gŇāńôboko wierzńÖcym bo ta z pewnoŇõcińÖ moŇľe okazańá sińô dla nich obrazoburcza, chońá tak na zdrowy rozsńÖdek nikogo nie obraŇľa a jest jedynie ŇõwietnńÖ pracńÖ historycznńÖ. PracńÖ kt√≥ra moŇľe zwalińá czŇāowieka z n√≥g, jak mnie, kt√≥rej czytanie byŇāo dla mnie bezcenne pod kńÖtem poznawczym, kt√≥ra obaliŇāa masńô mit√≥w na temat chrzeŇõcijaŇĄstwa kt√≥re mi wpajano od najmŇāodszych lat i kt√≥rńÖ polecam tym kt√≥rzy nie bojńÖ sińô po nińÖ sińôgnńÖńá. MoŇľna sińô zdziwińá nie raz, nie dwa i nie dziesińôńá a kilkadziesińÖt razy podczas zgŇāńôbiania historii koŇõcioŇāa katolickiego oczami Karlheinza Deschnera. To co czytamy oparte jest bowiem na imponujńÖcej iloŇõci Ňļr√≥deŇā historycznych, kt√≥re autor analizuje w spos√≥b mistrzowski. Poza tym to sińô po prostu czyta. Ramota i nuda to nie tutaj. Og√≥lnie szczńôka w dole i pokŇāony. Tyle ode mnie. 

KaŇľdy ma swojńÖ biblińô i ja swojńÖ znalazŇāem. Ta pozycja to krytyczna analiza chrzeŇõcijaŇĄstwa skupiajńÖca sińô na takich kwestiach jak ta dotyczńÖca historycznoŇõci Jezusa, na powstaniu i ewolucji pisma Ňõwińôtego, rozwoju tej religii, rozlicznych kultach i mitach z nińÖ zwińÖzanych. Praca ta napisana jest przez czŇāowieka o gargantuicznej wiedzy, kt√≥ry wykonaŇā takich teŇľ rozmiar√≥w... 

wińôcej



mniej





PokaŇľ mimo to


;

O klerze bez propagandowego beŇākotu. Nie dla fanatyk√≥w religijnych. 

O klerze bez propagandowego beŇākotu. Nie dla fanatyk√≥w religijnych. 



PokaŇľ mimo to


;

UwaŇľam, Ňľe ksińÖŇľka jest rewelacyjna. DraŇľni mnie jedynie to, Ňľe jest napisana totalnie anty. A nic w Ňõwiecie nie jest czarna lub biaŇāe. Z drugiej jednak strony takie byŇāo zaŇāoŇľenie. Bardzo wartoŇõciowa pozycja - ale ocen bńôdzie tyle ile czytajńÖcych. 

UwaŇľam, Ňľe ksińÖŇľka jest rewelacyjna. DraŇľni mnie jedynie to, Ňľe jest napisana totalnie anty. A nic w Ňõwiecie nie jest czarna lub biaŇāe. Z drugiej jednak strony takie byŇāo zaŇāoŇľenie. Bardzo wartoŇõciowa pozycja - ale ocen bńôdzie tyle ile czytajńÖcych. 



PokaŇľ mimo to


;

Bardzo dobra. 

Bardzo dobra. 



PokaŇľ mimo to


",
"
Ukryte teorie nauki ",Stephen Jay Gould,"
popularnonaukowa ",Znak,"
8370064051 ","
Zamieszczone w tomie eseje poświęcone są zapomnianym i pomijanym epizodom w dziejach nauki. Autorzy pokazują, jak często obiecujące odkrycia i intuicje badawcze bywały odrzucane i zapominane, by - czasem po wielu latach - pojawić się ponownie i zdobyć w nowym sformułowaniu powszechne uznanie. ","
Hidden Histories of Science ","
1996-01-01 ","
1996-01-01 ","
128 ","
polski ","
Andrzej Pawelec ",,
"
Koniec maskarady ",Joan Alison Smith,"
literatura obyczajowa, romans ",Da Capo,"
8371570848 ","
Po czterech latach poszukiwań Moira Trevithick trafia na ślad oszusta, który pozbawił ją i jej brata rodzinnego majątku. Podając się za bogatą wdowę ze Szkocji, dziewczyna zjawia się w wiejskiej gospodzie, by zastawić na niego sidła. Niestety, misternie przygotowany plan komplikuje się, gdy na scenę wkraczają inne osoby, które najwyraźniej również zagięły parol na majora Stanby'ego, bo pod takim nazwiskiem występuje teraz wróg Moiry. Największym problemem dla ""młodej wdowy"" okazuje się niejaki Hartly, który nie dość, że miesza jej szyki, to jest stanowczo za przystojny ","
Regency Masquerade ","
1996-01-01 ","
1996-01-01 ","
222 ","
polski ","
Lechosław Polak ","

Polecam serdecznie, Jak to romans jest może i przewidywalna jednak nie ma co narzekać. :) Tak mi się przynajmniej wydaje :) główni bohaterzy całkiem przyzwoicie przedstawieni. Jak na książkę która nie należy do wielkich tomiszczy dzieje się w niej nie mało. Polecam więc i pozdrawiam serdecznie. :) 

Polecam serdecznie, Jak to romans jest może i przewidywalna jednak nie ma co narzekać. :) Tak mi się przynajmniej wydaje :) główni bohaterzy całkiem przyzwoicie przedstawieni. Jak na książkę która nie należy do wielkich tomiszczy dzieje się w niej nie mało. Polecam więc i pozdrawiam serdecznie. :) 



Pokaż mimo to


",
"
Astrologia Kabalistyczna. Ciała subtelne ",Awiessałom Podwodnyj,"
ezoteryka, senniki, horoskopy ",Stu­dio Astrop­sy­cho­lo­gii,"
8386737158 ",,"
Kabalisticzeskaja astrologia: Tonkije tieła ","
1996-01-01 ","
1996-01-01 ","
268 ","
polski ",,,
