title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Ilustrowany atlas klejnotów i kamieni szlachetnych ",Cally Oldershaw,"
nauki przyrodnicze (fizyka, chemia, biologia, itd.) ",Buchmann,"
9788360158180 ","
Fascynujący, bogato ilustrowany przewodnik zawierający wiele praktycznych informacji na temat oznaczania i zastosowania kamieni szlachetnych i ozdobnych. Wprowadzenie, w przystępny i zrozumiały sposób, opisuje szereg podstawowych wiadomości na temat geologii, chemii i właściwości minerałów. Do dyspozycji czytelnika jest też klucz do oznaczania kamieni według ich barwy. Część główna przewodnika to szczegółowy opis wielu kamieni szlachetnych i ozdobnych razem z dużą ilością ilustracji przedstawiających kryształy w stanie naturalnym, oszlifowane kamienie, najczęściej spotykane rodzaje szlifów oraz przykłady wyrobów jubilerskich z kamieniami szlachetnymi.

Ponad 130 szczegółowo opisanych rodzajów kamieni szlachetnych i ozdobnych
Ponad 850 ilustracji kamieni, minerałów i biżuterii
Ponad 50 rysunków i wykresów
Mapy wszystkich kontynentów z zaznaczeniem miejsc występowania najważniejszych kamieni
Na uwagę zasługuje fakt, iż autorka przewodnika jest ekspertem Londyńskiego Towarzystwa Geologicznego ds. kontaktów z oświatą i parlamentem oraz Stowarzyszenia Gemmologicznego Wielkiej Brytanii. ","
Guide to gems ","
2007-01-01 ","
2007-01-01 ","
224 ","
polski ","
Jakub Kowalczyk, Mikołaj Malanowski ","

Dobre opisy lecz mapka na końcu książki nie jest wolna od błędów. 

Dobre opisy lecz mapka na końcu książki nie jest wolna od błędów. 



Pokaż mimo to


",
"
Cymes i piołun czyli księga humoru żydowskiego ",Jacek Illg,"
literatura piękna ",Videograf II,"
9788371834554 ","
zbiór dowcipów i humorystycznych opowiastek zaczerpniętych ze skarbnicy kultury żydowskiej. zgromadzone według klucza tematycznego dowcipy nie tylko śmieszą czytelnika, ale i są źródłem informacji o tradycji, obyczajach, nakazach religijnych, stosunku do pieniędzy, polityki, pracy i zabawy Żydów zamieszkujących Polskę i inne kraje europejskie. Wiele historyjek jest związanych z wielką emigracją Ży ",,"
2007-01-01 ","
2007-01-01 ","
224 ","
polski ",,"

Zabawne. 
Przy takiej ilości dowcipów trudno zachować koncentrację.
Jednak polecam.
Najbardziej wartościowa jest ostatnia część książki nie pisana już żartem: przywoływane całkiem na serio przemyślenia rabinów. 

Zabawne. 
Przy takiej ilości dowcipów trudno zachować koncentrację.
Jednak polecam.
Najbardziej wartościowa jest ostatnia część książki nie pisana już żartem: przywoływane całkiem na serio przemyślenia rabinów. 



Pokaż mimo to


",
"
Civil War, Part 7 of 7 ",Steve McNiven,"
komiksy ",Marvel Comics,,"
Iron Man and Captain America's forces fight against each other in the Negative Zone. Two S.H.I.E.L.D. agents in the compound's control room try to lock the gateway back to Ryker's Island, but Dagger and the Black Panther show up to open a different portal from the Negative Zone. Spider-Man swings on the scene, but two of Tony's guys stop him. S.H.I.E.L.D. Agent Dublonsky tells Commander Maria Hill that Black Panther is rerouting their bridge to the Baxter Building and shuts it down. Cloak calls Dagger, saying they need a large portal to get everybody out of the Negative Zone.

Cloak manages to engulf all of the heroes in his cloak and sends them to outside the Baxter Building. Iron Man tells the police to evacuate the area so that there are no civilian casualties. Spider-Man battles his way through four of Tony's guys to kick Mister Fantastic. The Thunderbolts all gang up on Captain America until Namor shows up with his Atlantean legion to bail him out. The Thor clone leads The Champions and The Initiative against the Atlanteans. Tony and Cap square off against each other. The Vision compromises Iron Man's armor and Cap attacks him with his shield.

Hercules starts to battle against the Thor clone. Sue Richards notices Ben Grimm has joined the fight. The Taskmaster aims a gun at Sue, but Reed takes the bullet while shielding her. Sue makes short work of villain. Back at the fight between Hercules and Thor, Hercules gains possession of the impostor's hammer and uses it to bust apart the cyborg's head, yelling ""Thou art no Thor!"" Cap continues using his shield to crack Iron Man's helmet. Just as Cap prepares to deliver the final blow, rescue workers tackle him.

Captain America realizes what the fighting has done to the city and takes off his mask, surrendering to the police. The Punisher picks up Cap's mask. During the next two weeks, the 50-State Initiative is launched and the Negative Zone becomes a huge success with the public. The president gives Tony Stark a new job as the director of S.H.I.E.L.D. Tony talks with Miss Sharpe on a S.H.I.E.L.D. about why the prison is called ""Number 42"" because it was the forty-second of a hundred ideas he had helped make after the Stamford Incident. ",,"
2007-01-01 ",,"
30 ","
angielski ",,"

WOJNA DOMOWA VII

W strefie negatywnej ruch oporu staje przeciwko ludziom Starak w ostatniej bitwie, która rozstrzygnie losy herosów. Czy zmieni to jednak sytuację i samą ustawę?

Wielki finał. Naprawdę wielki. Najlepsza część Cyvil War pokazuje dlaczego jest to historia tak ceniona i tak ważna dla całego uniwersum Marvela. Mądra, ważka, zdecydowanie dla dojrzałych czytelników. Wywraca cały świat herosów do góry nogami i zmienia go nie do poznania. Tak samo, jak i samych bohaterów. 

Zakończenie jest mocne, smutne, pełne emocji i co najważniejsze doskonałe do takiej historii. Gorycz nie opuści nas do końca, choć o pewnym happy endzie można tutaj mówić. Ale jaki może to być happy end po tym, co było, prawda?

Wielki komiks. Znakomity. Wspaniały. Na szczęście już niedługo dostępny w Wielkiej Kolekcji Komiksów Marvela.

Pozycja konieczna dla każdego, kto lubi to medium. 

WOJNA DOMOWA VII

W strefie negatywnej ruch oporu staje przeciwko ludziom Starak w ostatniej bitwie, która rozstrzygnie losy herosów. Czy zmieni to jednak sytuację i samą ustawę?

Wielki finał. Naprawdę wielki. Najlepsza część Cyvil War pokazuje dlaczego jest to historia tak ceniona i tak ważna dla całego uniwersum Marvela. Mądra, ważka, zdecydowanie dla dojrzałych... 

więcej



mniej





Pokaż mimo to


",
"
Kryptografia w bazach danych. Ostatnia linia obrony. ",Kevin Kenan,"
informatyka, matematyka ",Mikom,"
83-01-15016-5 ","
Książka zawiera przykłady kodu i omawia „sejfy” na klucze, zarządzanie nimi i stosowane mechanizmy i metody zarządzania. Traktuje o różnorakich aspektach szeroko rozumianego bezpieczeństwa komputerów, sieci i oprogramowania.

Tematyka książki ""Kryptografia w bazach danych Ostatnia linia obrony"" obejmuje:

- zrozumienie aspektów prawnych ochrony danych

- budowę realistycznego modelu zagrożeń, który odzwierciedla rzeczywiste zagrożenia

- tworzenie kryptograficznej infrastruktury baz danych wokół najbardziej efektywnych wzorców bezpieczeństwa

- klasyfikowanie wrażliwości danych

- pisanie aplikacji, które bezpiecznie współpracują z systemem kryptograficznym

- zapobieganie słabościom systemu ochrony, które umożliwiają dostęp do aplikacji bazodanowych.

Książka jest napisana niezależnie od platformy oprogramowania, przydatna wiec będzie dla każdego specjalisty.

Rozdziały:

Część I. Bezpieczeństwo baz danych 21

1. Problematyka bezpieczeństwa baz danych 21

2. Ochrona baz danych za pomocą kryptografii 35

Część II. Infrastruktura kryptograficzna 55

3. Podstawy infarstruktury kryptograficznej 57

4. Maszyny kryptograficzne i algorytmy 77

5. Klucze: sejfy, dokumentacja i menadżerowie 95

6. Dostawcy i konsumenci kryptograficzni 105

Część III. Projekt kryptograficzny 113

7. Zarządzanie projektem kryptograficznym

8. Uściślanie wymagań 123

9. Uścislanie projektu 137

10. Bezpieczne tworzenie oprogramowania 153

11. Testowanie 161

12. Wdrożenie, obrona i plan zamknięcia 171

Cżęść IV. Przykładowy kod 177

13. O przykładach 179

14. Sejf na klucze 185

15. Dokumentacja 203

16. Menadżer kluczy 217

17. Maszyna 233

18. Pokwitowania i dostawca 237

19. Konsument 247

20. Wyjątki 269

21. Działający system 277 ",,"
2007-01-01 ","
2007-01-01 ","
300 ","
polski ",,"

Sama sucha, mało przydatna teoria, niestety. Krótki omówienie jak działa szyfrowanie AES w postaci kodów źródłowych - całkiem t,o przydatne, ale to już koniec książki. Wodolejstwo to zły znak ale autor tak naprawdę napisał książkę ""o wszystkim i o niczym"". Zapchał kolejne rozdziały tym ""co"" zabezpieczać i nie ""jak"" w postaci znanych każdemu faktów. Połowa książki to przypomnienie cyklu tworzenia oprogramowania i nijak się ma do baz danych. Wiemy jak zabezpieczać ""oprogramowanie"" na każdym etapie cyklu (teoretycznie, bo nie praktycznie)anie konkretne bazy danych. Szkoda, zmarnowany potencjał. Nie rozumiem też czemu pod tą książką podpisał się Symantec, twórca Nortona Antywirusa. Chyba tylko żeby ktoś tą książkę wziął do ręki.... i tylko do ręki. 

Sama sucha, mało przydatna teoria, niestety. Krótki omówienie jak działa szyfrowanie AES w postaci kodów źródłowych - całkiem t,o przydatne, ale to już koniec książki. Wodolejstwo to zły znak ale autor tak naprawdę napisał książkę ""o wszystkim i o niczym"". Zapchał kolejne rozdziały tym ""co"" zabezpieczać i nie ""jak"" w postaci znanych każdemu faktów. Połowa książki to... 

więcej



mniej





Pokaż mimo to


",
"
Jak poprawić swoje IQ ",Richard G. Pellegrino,"
popularnonaukowa ",Rebis,"
9788373019898 ","
Ty również możesz zostać Einsteinem. Razem z nami poprawisz swoje IQ!

Oczywiście, ze nie jesteś idiota. Przeczytałeś przecież kilka książek, oglądasz programy popularnonaukowe, awansujesz w pracy. Ale gdy trzeba rozwiązać trudniejszy problem i pojąć złożoną teorie czy fakty, mozg zaczyna Ci pulsować? Nie sięgaj po aspirynę! Jak poprawić swoje IQ ujawni ci sekrety twojego umysłu i nauczy cie, jak szybko usprawnić działanie iskrzących synaps. ","
The Complete Idiot's Guide to Improving Your IQ ","
2007-01-01 ","
2007-01-01 ","
306 ","
polski ","
Arkadiusz Łączek ",,
"
Ekstremalne zabawy młodych. Moda, hobby i pragnienie przekraczania wszelkich granic. ",Carlo Climati,"
nauki społeczne (psychologia, socjologia, itd.) ",Jedność,"
978-83-7442-453-0 ","
Młodzi od zawsze chcieli zmieniać świat, wcielać w życie swoje ideały, musieli wyraźnie zaznaczyć swoją obecność. Konflikt pokoleń, podważanie autorytetów starszych, bunt to nieodzowne elementy dorastania, nawet wskazane przy zachowaniu odpowiednich granic...

No właśnie – granica – dziś to słowo w świadomości młodych nic już nie znaczy. Trzeba być prowokująco ubranym, uczesanym, a wyobraźnia podpowiada najdziwniejsze sposoby na przyozdabianie ciała. Ale moda to jeszcze nie wszystko! Rozrywka i zabawa kiedyś kojarzyły się z ciszą i spokojem. Teraz wszystkim potrzeba końskich dawek adrenaliny, dlatego rzucają się z mostów na linie, przeskakują rozmaite urbanistyczne obiekty, spływają wartkimi nurtami rzek w lichych łupinkach, słowem... relaksują się. Ciało już przekroczyło wszelkie granice, w powietrzu, na lądzie i w wodzie, a co w takim razie z duchem? O tym też pomyślano, w grach komputerowych, oczywiście dla fanu, siecze się bez opamiętania, kogo tylko się zechce, dostaje się drugie życie, przecież zabawa dopiero się rozkręca. Muzyka musi być głośna, mile widziana psychodeliczność, wszak dobry meloman, to meloman w transie itd., itd.

Trochę tu żartu, trochę ironii, ale autorowi tej książki naprawdę nie chodzi o to, by wykpić oryginalność, inwencję czy odwagę, to przyjaciel młodzieży, zna ją doskonale i szczerze pragnie jej dobra, nikogo nie oskarża, szanuje poglądy innych. Zależy mu na szczęściu młodych, dlatego podpowiada, jak nie dać się zniewolić modom, jak pozostać sobą, jak wybierać ekstremalne... ale dobro, no bo skoro już musi być ekstremalnie... ","
I giochi estremi dei giovani. Mode, hobby e tendenze oltre ogni limite ","
2007-01-01 ","
2007-01-01 ",,"
polski ","
Krystyna Kozak ",,
"
Kilka myśli o modlitwie ",Jan Twardowski,"
religia ",Wydawnictwo Święty Wojciech,"
8370155820 ","
Przemyślenia religijne ",,"
2007-01-01 ","
2007-01-01 ",,"
polski ",,"

Bardzo dobra książka o modlitwie i relacji człowieka z Bogiem.

Bardzo krótka ale treściwa i warta przeczytania.

Bardzo polecam. 

Bardzo dobra książka o modlitwie i relacji człowieka z Bogiem.

Bardzo krótka ale treściwa i warta przeczytania.

Bardzo polecam. 



Pokaż mimo to


",
"
Nauka o organizacji ",Barbara Kożuch,"
biznes, finanse ",CeDeWu,"
9788375560374 ","
Konstrukcja książki jest przejrzysta i celowa. W jej opracowaniu dominuje autorska wizja myśli i sposobów przekazu treści z zakresu \&& podstaw nauki o organizacji\&& profesor Barbary Kożuch, ",,"
2007-01-01 ","
2007-01-01 ","
290 ","
polski ",,,
"
Piwo, wino, nalewki ",Barbara Jakimowicz-Klein,"
poradniki ",Świat Książki,"
8324706968 ","
jak sporządzać domowe trunkia do czego stosować w kuchni piwo czy winoaprzepisy na potrawy ze aspecjalnyma dodatkiemRecepty na domowe nalewki i wiele praktycznych rad, jak stosować w kuchni alkohole i jak je podawać. Np. piwo powoduje kruchość mięsa i spulchnia ciasto, a wino doskonale nadaje się do sosów. Przepisy na wiele potraw a od zup po desery a które dzięki kropli odpowiedniego trunku staną ",,"
2007-01-01 ","
2007-01-01 ","
224 ","
polski ",,,
"
Eksperci przeciwko Sycylijskiej ",Jacob Aagaard,"
poradniki ","Wydawnictwo Szachowe ""Penelopa""","
9788386407651 ","
Polska wersja książki Showa i Aagarda ""Eksperci przeciwko Sycylijskej""
Na zachodzie książka została wydana trzy lata temu i z miejsca stała sie bestsellerem.
Polska wersja posiada aktualizację i zawiera więcej materiału niż oryginał.

Idea powstania książki jest prosta; redaktorzy wydawnictwa Quality Chess, Jacob Aagaard i John Show zaprosili do współpracy znawców wariantów sycylijskiej i zadali im pytanie: jak walczyć w tych wariantach grajac główne linie. ",,"
2007-01-01 ","
2007-01-01 ","
248 ","
polski ",,,
