title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Mistyka Słowackiego ",Jan Gwalbert Pawlikowski,"
językoznawstwo, nauka o literaturze ",,"
9788323325253 ","
Dzieło Jana Gwalberta Pawlikowskiego ""Mistyka Słowackiego"" otwiera serię wznowień książek i rozpraw dawnych komparatystów polskich, której zadaniem jest przypomnieć dorobek naszej rodzimej komparatystyki.

Dzisiejszego komparatystę zdumiewać może zakres wiedzy Pawlikowskiego, szerokość jego horyzontów, śmiałość i nowatorstwo pomysłów, a także samoświadomość badawcza oraz konsekwencja metodologiczna. Piszący nie tylko o autorze ""Króla-Ducha"", ale i o wielu innych zagadnieniach związanych z romantyzmem - od mistyki i mesjanizmu poczynając, a na filozofii epoki kończąc - zawdzięczają bardzo wiele tej książce; ustalenia i pomysły jej autora zainspirowały niejednego późniejszego badacza. ",,"
2008-01-01 ","
2008-01-01 ","
422 ","
polski ",,,
"
Zapomniane hydroplany. Nad Bałtykiem i Polesiem 1924-1937 ",Andrzej Olejko,"
militaria, wojskowość ",ZP Grupa Sp. z o.o.,"
9788392660613 ","
Prezentujemy Państwu, szczególnie tym interesującym się polską tradycją wojskową a także techniką, godłem i barwą książkę poświęconą historii polskiego wojska okresu międzywojennego. Lotnictwo i myśl wojskowa to nie tylko dzieje Eskadr pułków lądowych, lecz także jedynej w armii II rzeczpospolitej jednostki lotnictwa morskiego - Morskiego dywizjonu Lotniczego w Pucku. Treści i fotografie w niej zawarte to wynik wnikliwych badań autora prowadzonych przez blisko 25 lat nad dziejami jednostki będącej lotniczym wsparciem Marynarki Wojennej w okresie XX-lecia międzywojennego. Budowa Gdyni, stworzenie Flotylli Rzecznej na Polesiu oraz umocnienie polskiej obecności na Bałtyku i poleskich kresach miały dla odrodzonej po latach niewoli rzeczpospolitej szczególne znaczenie. Wydarzenia tu opisane pełne danych archiwalnych, wzbogacone wspomnieniami i niejednokrotnie unikalną ikonografią, są szczególnie interesującą lekturą podane w atrakcyjny sposób każdemu czytelnikowi. Na stronach tego opracowania znajdziecie Państwo nie tylko dzieje techniki lotniczej ale także ciekawe zdarzenia podane niejednokrotnie w dramatyczny jak i anegdotyczny sposób. Baza źródłowa czyni z niej niezwykle cenne źródło do badań nad historią polskiej wojskowości w latach 1918 - 1939, zaś ikonografia przenosi do czasów, które przeminąwszy już nie powrócą. Do ery hydroplanów strzegących polskiego Wybrzeża oraz ""Pińskiego Morza"" w dobie gdy polskie sąsiedztwo do spokojnych nie należało. ",,"
2008-01-01 ","
2008-01-01 ","
249 ","
polski ",,,
"
Kucie -zło konieczne? ",Hiltrud Strasser,"
zdrowie, medycyna ",World Wide,"
9788392754008 ","
Spis treści:

I. Wstęp

II. Historia przybijanej podkowy

III. Szkodliwe działanie podkowy  udokumentowane przez wieki

IV. Historyczne i współczesne publikacje naukowe o rzeczywistych efektach kucia

V. Pielęgnacja kopyt we współczesnej literaturze

VI. Konsekwencje kucia: obserwacje autorki i dokumentacja badań z holistycznej kliniki kopyt

Mechanizm kopyta
Zacieśnienie kopyt
Syndrom trzeszczkowy
Ochwat
Pęknięcia kopyt
Zmiany w przerzucie i naturalnym ruchu
Uszkodzenie tworzywa
Temperatura
Wibracje
Przyczepność
Funkcja nerwów
Zaburzenia metaboliczne
Punkty energetyczne
Zwiększenie ryzyka i stopnia obrażeń
Uszkodzenia terenu
Leczenie objawowe
Koszty
Biologiczne ograniczenia
Kucie ortopedyczne

VII. Nieprawidłowe kucie i inne kłopoty z kowalem

VIII. Życie bez podków?

IX. Alternatywne metody ochrony kopyt

X. Zalety kucia

XI. Na szalach wagi: wady i zalety kucia

XII. Wnioski

XIII. Od autora ",,"
2008-01-01 ","
2008-01-01 ","
104 ","
polski ",,,
"
Zakłady sportowe i bukmacherskie kontra multilotek ",Arkadiusz Kwiatkowski,"
biznes, finanse ",Złote Myśli,"
978-83-7582-313-4 ","
Poznaj skuteczne metody i tajemnice bezpiecznego wygrywania. Tylko dla tych, którzy myślą poważnie o wielkich pieniądzach ze świata sportu. ",,"
2008-01-01 ","
2008-01-01 ","
108 ","
polski ",,,
"
Książę Ksawery Drucki-Lubecki (1778-1846) ",Jerzy Szczepański,"
biografia, autobiografia, pamiętnik ",DiG,"
978-83-7181-553-9 ","
Książę Ksawery Drucki-Lubecki (1778-1846) był jedną i najbardziej wyraźnych postaci polskiego świata polityki i gospodarki w l połowie XIX wieku. Minister skarbu w latach 1821-1830, był autorem z sukcesem realizowanego programu sanacji finansów państwa, rozwoju handlu i uprzemysłowienia kraju. Wybuch powstania listopadowego w 1830 roku zakończył olśniewającą karierę polityka będącego zarazem głównym rzecznikiem porozumienia z Rosją. Po 1831 roku przebywał głównie w Petersburgu, jako członek rosyjskiej Rady Państwa i główny antagonista rosyjskiego ministra finansów — J. Kankrina.
Niniejsza praca, napisana m.in. w oparciu o nieznane źródła litewskie i rosyjskie, nie stera się drobiazgowo rekonstruować wydarzeń z życia Lubeckiego. Jej świadomym założeniem jest zwrócenie większej uwagi na kwestie mniej znane w dotychczasowej literaturze. Całość pracy w układzie chronologicznym podporządkowana została głównym problemom, takim jak życie i rodzina Lubeckiego, kariera polityczna, działalność gospodarcza, jego rola w powstaniu listopadowym i pobyt w Petersburgu połączonycz działalnością w Radzie Państwa (1831 -1846).
Postać Lubeckiego daje okazję do bliższego zapoznania się z podstawowymi problemami historii zarówno Polski XIX w., jak i Rosji. W książce został naszkicowany ówczesny obraz stosunków polsko-rosyjskich i podstawowe tendencje polityki rosyjskiej wobec Polski. ",,"
2008-01-01 ","
2008-01-01 ","
278 ","
polski ",,,
"
Anatomia projektu ",Heler Steven,"
literatura piękna ",ABE Marketing,"
9788361380320 ",,,"
2008-01-01 ","
2008-01-01 ","
52 ","
polski  ",,,
"
Likwidator na Ukrainie 1920 ",Ryszard Dąbrowski,"
komiksy ",Zielony Front,,"
Kolejne przygody anarchistycznego super-bohatera. Likwidator gromi czerwonych i białych na ukraińskich stepach pod czarnym sztandarem anarchii. ",,"
2008-01-01 ","
2008-01-01 ","
56 ","
polski ",,"

Po przeczytaniu ""trylogii"" Likwidatora, który mnie kompletnie zawiódł, myślałem, że nie dam temu tytułowi już żadnych szans. Mimo to, mając już na dysku ten egzemplarz doszedł do wniosku, że być może skoro to taki specjalny dedykowany numer to może przygody Likwidatora wreszcie okażą się ciekawsze
I tak się właśnie stało.
Całość komiksu przeczytałem z zapartym tchem i po przeleceniu od deski do deski zrobiło mi się tak po prostu smutno, że ta historia tak szybko się skończyła. Fajnie też, że wydawca/autor zadbał też o to by na samym końcu umieścić notkę na temat tego jak to faktycznie wyglądało na Machnowszczyźnie. W tym komiksie jest wszystko: niesamowite postacie, dopracowana fabuła, sceny akcji podnoszące adrenalinę. Czyta się naprawdę szybko więc co tu dużo mówić, śięgnijcie po ""Likwidatora na Ukrainie""!
A i jeszcze jeden drobny detal, który się zauważa i umila czytanie - kreska w tym numerze jest zdecydowanie bardziej dopracowana 

Po przeczytaniu ""trylogii"" Likwidatora, który mnie kompletnie zawiódł, myślałem, że nie dam temu tytułowi już żadnych szans. Mimo to, mając już na dysku ten egzemplarz doszedł do wniosku, że być może skoro to taki specjalny dedykowany numer to może przygody Likwidatora wreszcie okażą się ciekawsze
I tak się właśnie stało.
Całość komiksu przeczytałem z zapartym tchem i po... 

więcej



mniej





Pokaż mimo to


",
"
Joga dla kobiet w ciąży ",Judith Lasater,"
poradniki ",Klub dla Ciebie,"
9788374047005 ","
* Jak zahamować ciążowe nudności i zmniejszyć opuchliznę?* Jak zapanować nad bólem podczas porodu? * Jak po porodzie odzyskać kształty i energię sprzed ciąży?Chcesz zredukować znużenie, które z powodu przemian hormonalnych towarzyszy ciąży, oraz zapanować nad oddechem podczas rozwiązania? Wypróbuj jogę! Prezentowane tu proste ćwiczenia, dopasowane do możliwości przyszłych mam, pomogą ciału i psychice. Przyniosą ulgę w bólu pleców, a także staną się niezastąpionymi chwilami relaksu podczas codziennej gorączkowej krzątaniny. Sprawią, że zachowasz pełną świadomość podczas porodu i podołasz nowym obowiązkom. Uzupełnieniem ćwiczeń są mantry ? proste teksty do powtarzania w myślach lub na głos pomocne w stanach zaniepokojenia i zmęczenia oraz wtedy, gdy chcesz celebrować cud nowego życia. Jeśli jesteś kobietą, sięgnij po tę książkę, by pełniej i spokojniej przeżywać macierzyństwo. Jeśli jesteś mężczyzną, którego partnerka spodziewa się dziecka, zrób jej miłą niespodziankę. ",,"
2008-01-01 ","
2008-01-01 ","
56 ","
polski  ",,,
"
Psy i koty. Tom 4 ",David Alderton,"
flora i fauna ",Agora,"
978-83-7552-344-7 ",,"
Eyewitness Handbooks - Cats ","
2008-01-01 ","
2008-01-01 ","
128 ","
polski ","
Beata Flaherty, Wojciech Albert Kurkowski ",,
"
W imieniu życia opowiedz mi o śmierci... ",Claire D\ Hennezel,"
literatura piękna ",Klucze,"
9788392573944 ","
Książka przeznaczona jest dla ateistów i wierzących, dzieci i dorosłych. W obliczu śmierci dziecko jest być może doroślejsze od nas. Książka przełamuje tabu śmierci, oswaja z nią, nie wyzwalając przy tym lęku. W książce obrazie zebrane zostały teksty, poezje oraz bajki z naszej planety, które nas dotknęły jako psychoterapeutkę i jako matkę. Każdy może z niej zaczerpnąć wsparcie i pokarm, według swego upodobania, po to, by myśleć o śmierci drogiej istoty, ukoić smutek po niej i połączyć się z wielkim łańcuchem ludzkości. ",,"
2008-01-01 ","
2008-01-01 ","
102 ","
polski ",,,
