title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Batgirl Rising: Point of New Origin, Part 1 ",Lee Garbett,"
komiksy ",DC Comics,,,,"
2009-01-01 ",,"
32 ","
angielski ",,,
"
Śląsk Cieszyński. Po obu stronach Olzy ",Michał M. Kowalski,"
turystyka, mapy, atlasy ",Bezdroża,"
9788375600698 ","
Przewodnik traktuje polską i czeską część Śląska Cieszyńskiego jak jeden region. Tak przecież było zawsze, zanim w 1920 r. podzielono go granicą, i tak będzie zapewne w przyszłości - wszak państwa tworzące euroregion są członkami jednej Unii Europejskiej. Przewodnik oprowadza ""zielonymi szlakami"" Śląska Cieszyńskiego, ważnego ogniwa na środkowoeuropejskim szlaku Kraków-Morawy-Wiedeń Greenways. Opisane zostały także miejsca, które nie leżą na tym szlaku, a warte są odwiedzenia. 
(Ze wstępu, II wyd.) ",,"
2009-01-01 ","
2009-01-01 ","
144 ","
polski ",,,
"
Torii numer 3 (1/2009) ",Redakcja magazynu Torii,"
czasopisma ",Kirin,"
9788392981701 ","
47 RONINÓW
Od historii po deski teatru
LALECZKI KOKESHI
Małe dzieła sztuki
SHUNGA
Erotyka dla mas
BRAŁAM ŚLUB W KIMONIE
Wywiad z Joanną Misztelą
KAKEMONO
w ceremonii herbacianej
DZIEDZIC CHRYZANTEMOWEGO TRONU
czyli dzieje rodu cesarskiego, część II
BITWA NA MORZU KORALOWYM
Eksperyment „Walka na ślepo”
MIECZ, WACHLARZ I FLET
Japońska broń kombinowana i niespodziankowa
TOKIO
Olbrzym, którego nie ma
JAPOŃSKIE KOBIETY
Pokolenie ganguro
PORANDO NI YOKOSO
Japońskie zespoły j-rockowe w Polsce
OCZY SZEROKO OTWARTE
czyli operacje plastyczne w Japonii
JAPOŃSKA DUSZA POLSKICH DZIEŁ SZTUKI
Inspiracje polskich artystów
PRZEGLĄD WSPÓŁCZESNEJ KINEMATOGRAFII JAPONII
podczas 15. Festiwalu Lato Filmów w Warszawie
BENTO
Tajemnicze drugie śniadanie po japońsku
VI MISTRZOSTWA POLSKI KOBIET W KENDO
Relacja z imprezy w Poznaniu
ROZMOWY Z POLSKIMI MISTRZAMI JAPOŃSKICH SZTUK WALKI
Andrzej Kustosz
WYWIAD Z MARCINEM BRUCZKOWSKIM
autorem m.in. „Bezsenności w Tokio”
RECENZJE:
RADIO YOKOHAMA
KSIĘŻNA MASAKO
TONY TAKITANI
MIŁOŚĆ KROK PO KROKU
DYNIA Z MAJONEZEM ",,"
2009-01-01 ","
2009-01-01 ",,"
polski ",,,
"
Tradycja chrześcijańska. Historia rozwoju doktryny. Tom II: Duch wschodniego chrześcijaństwa (600-1700) ",Jaroslav Pelikan,"
religia ",Wydawnictwo Uniwersytetu Jagiellońskiego,"
9788323327646 ","
Granica dzieląca chrześcijański Wschód i Zachód na mapie średniowiecznej Europy przypomina XX-wieczną „żelazną kurtynę”. Bariery językowe, podziały polityczne i rozbieżności natury liturgicznej budowały mur między tymi dwiema kulturami. Pomijając takie wydarzenia, jak wielka schizma czy krucjaty, dzieje doktryny chrześcijaństwa wschodniego były przedmiotem niewielu badań historyków Kościoła. Jaroslav Pelikan nie tylko zajmuje się kwestią rozłamu na Kościół wschodni i zachodni, lecz także opisuje specyficzne formy, które doktryna chrześcijańska przybierała w kulturze bizantyjskiej, syryjskiej i wczesnosłowiańskiej.


Duch wschodniego chrześcijaństwa to arcydzieło przedstawiające zagadnienia o niezwykle różnorodnym charakterze – wielkie kontrowersje chrystologiczne z VII wieku, spory ikonoklastyczne w VIII i IX stuleciu, stosunek Kościoła wobec Żydów i muzułmanów, herezje dualistyczne późnego średniowiecza oraz Kościoły poreformacyjne na wschodzie Europy.
Peter Brown i Sabine MacCormack, „New York Review of Books”

Lektura tej książki to swoista uczta intelektualna. Podobnie jak tom pierwszy, stanowi wyjątkowy pokaz erudycji, analitycznej klarowności, zrównoważonej prezentacji przeciwnych stanowisk oraz mistrzowskiego poruszania się po labiryncie starożytnego i nowożytnego piśmiennictwa teologicznego.
„Virginia Quarterly Review” ","
The Christian Tradition: A History of the Development of Doctrine. Volume 2: The Spirit of Eastern Christendom 600–1700 ","
2009-01-01 ","
2009-01-01 ","
387 ","
polski ","
Maciej Piątek ",,
"
Idą, idą Święta ",Anna Casalis,"
literatura dziecięca ",Imprint,,"
24 kolorowe książeczki-bombki dla dzieci z ilustrowanymi bajkami o zwierzątkach posiadające zawieszki na choinkę. ","
Arriva il Natale! ","
2009-01-01 ","
2009-01-01 ",,"
polski ",,"

Książka pełni więcej niż jedną funkcję, bo tu nie dość że możemy poczytać zabawne historyjki o zwierzętach, to jeszcze książeczki mogą być wykorzystane jako bombki na choinkę. Pozycja zawiera 24 książeczki na każdy dzień Adwentu ze świeckimi historyjkami głównie o zwierzętach. Jest również wersja religijna Opowieści wigilijne i tu czytelnik poznaje dzieje Starego Testamentu oraz teksty niektórych kolęd. 
Mniejsze dzieci za pomocą tej książki poznają cyfry i uczą się liczyć. 

Książka pełni więcej niż jedną funkcję, bo tu nie dość że możemy poczytać zabawne historyjki o zwierzętach, to jeszcze książeczki mogą być wykorzystane jako bombki na choinkę. Pozycja zawiera 24 książeczki na każdy dzień Adwentu ze świeckimi historyjkami głównie o zwierzętach. Jest również wersja religijna Opowieści wigilijne i tu czytelnik poznaje dzieje Starego Testamentu... 

więcej



mniej





Pokaż mimo to


",
"
Historia warszawskiej adwokatury ",Zdzisław Krzemiński,"
historia ",C. H. Beck,"
9788325505196 ","
W Historii warszawskiej adwokatury Autor przedstawia dramatyczne wydarzenia w dziejach stołecznej adwokatury, poczynając od okresu upadku pierwszej Rzeczpospolitej, przez okres zaborów, czasy drugiej niepodległej Polski, ponure czasy niemieckiej okupacji, aż po wydarzenia współczesne. Patriotyczne postawy warszawskich adwokatów przedstawione zostały na tle historycznych wydarzeń tamtych czasów. Drugie wydanie uzupełniono o indeks nazwisk oraz wzbogacono uwagami podsumowującymi. ",,"
2009-01-01 ","
2005-01-01 ","
281 ","
polski ",,,
"
Encyklopedia dla dociekliwych. 5000 informacji ",,"
encyklopedie, słowniki ",Wydawnictwo Elżbieta Jarmołkiewicz,"
9788377110065 ","
Nowy pomysł na encyklopedię dla nastolatków.

Bardzo szeroki zakres tematyczny (FAUNA, GEOGRAFIA, HISTORIA, SZTUKI PIĘKNE, SPORT, ... i wiele innych). Każdy z tematów rozwijamy maksymalnie w dziesięciu punktach. Bardzo nowoczesny układ stron oraz liczne zdjęcia i oryginalne ciekawostki, doskonale przybliżają omawiane zagadnienie. ","
L'ENCYCLO DES ADOS ","
2009-01-01 ","
2009-01-01 ","
539 ","
polski ","
Piotr Wrzosek ","

Moim zdaniem encyklopedia pierwsza klasa!!! Ciekawie i prosto zrobiona. Często po nią sięgam. Polecam. 

Moim zdaniem encyklopedia pierwsza klasa!!! Ciekawie i prosto zrobiona. Często po nią sięgam. Polecam. 



Pokaż mimo to


",
"
Ziołowy ogród ",Dirk Mann,"
poradniki ",Publicat,"
9788324516346 ","
Każdy może założyć ogródek ziołowy ? w ogrodzie, na działce, na balkonie, a nawet na parapecie okna. Skorzystaj z fachowego poradnika, a będziesz cieszyć się świeżymi ziołami ",,"
2009-01-01 ","
2009-01-01 ","
151 ","
polski ",,,
"
Oldtimery. Leksykon ",Reinhard Lintelmann,"
motoryzacja ",Firma Księgarska Olesiejuk,"
978-83-7588-716-7 ","
Ponad 270 zabytkowych samochodów najsłynniejszych marek świata. Informacje techniczne: model samochodu, pojemność i moc silnika, okres produkcji, liczba wyprodukowanych egzemplarzy. Interesujące komentarze i wyjątkowo piękne fotografie. Fascynująca opowieść o historii światowego przemysłu samochodowego. ","
Handbuch. Oldtimer ","
2009-01-01 ","
2009-01-01 ","
286 ","
polski ","
Przemysław Hodyra ",,
"
Refleksyje duchowne ",Karol Mikołaj Juniewicz,"
poezja ",Instytut Badań Literackich PAN,"
9788361757085 ","
„Refleksyje duchowne” Karola Mikołaja Juniewicza — prowokujący skrajne oceny późnobarokowy poemat z czasów saskich, który łączy w sobie treści religijne z dosadną satyrą obyczajową. ",,"
2009-01-01 ","
2009-01-01 ","
316 ","
polski ",,,
"
Henrietta włochata hipcia ",An Vrombaut,"
literatura dziecięca ",Debit,"
9788371675676 ","
Co za niezwykli sąsiedzi! Mają różki, ryjki, ogonki i trąbki... Ach, Przecież Lucy mieszka koło ZOO! Co wieczór przed snem dziewczynka wymyka się przez okienko swojego pokoju i zjeżdża na ziemię po długiej szyi żyrafy Georginy, a potem słucha opowieści, którą przygotowały dla niej zwierzątka... Henrietta była bardzo smutna, ponieważ inne hipopotamy wyśmiewały się z jej włosów. Ruszyła więc na poszukiwanie nowego domu. Co jej się przydarzyło? ","
Henrietta The Hairy Hippo ","
2009-01-01 ","
2009-01-01 ","
32 ","
polski ","
Patrycja Zarawska ",,
"
Pilates Dla Każdego ",José RodríGuez,"
zdrowie, medycyna ",Bellona,"
9788311114081 ","
Pilates nazywany jest też sztuką kontrologii, ponieważ polega na uzyskiwaniu całkowitej kontroli nad ciałem w wyniku ćwiczeń, które łączą precyzję wykonania z koncentracją umysłu. Trening zakłada przede wszystkim wzmocnienie mięśni centralnej części ciała, a przez to zwiększenie elastyczności i siły w pozostałych częściach. Aby to osiągnąć, nie wystarczy nauczyć się zestawu ćwiczeń, trzeba też poznać praktyki relaksacyjne i różne techniki oddechowe, jak również zapoznać się z metodą wizualizacji, która pomaga wykonywać ćwiczenie we właściwy i najbardziej efektywny sposób. ",,"
2009-01-01 ","
2009-01-01 ","
160 ","
polski ",,,
"
Marian Kozaczka. Poczet Ordynatów zamoyskich. ",Marian Kozaczka,"
powieść historyczna ",Norbertinum,"
9788372223814 ",,,"
2009-01-01 ","
2009-01-01 ","
138 ","
polski ",,,
"
Herbatki i soki najlepsze dla zdrowia ",Maria Lohmann,"
zdrowie, medycyna ",Klub dla Ciebie,"
9788374048699 ","
* Rośliny lecznicze od A do z * Soki owocowe i warzywne z całego świata * Herbatki ziołowe i soki w leczeniu najczęstszych dolegliwościFitoterapia, czyli ziołolecznictwo, jest jedną z najstarszych metod leczenia w dziejach ludzkości. Badania naukowe potwierdzają starą prawdę, według której zioła, owoce i warzywa odgrywają ważną rolę nie tylko w odżywianiu, lecz także w zapobieganiu chorobom i w leczeniu rozmaitych dolegliwości. Na nowo odkrywamy dziś to, o czym wiedziały jeszcze nasze babcie: herbatki ziołowe i soki to nieocenione źródło zdrowia. Są smaczne i łatwe do przyrządzenia. Umiejętnie zestawione zioła i soki z owoców i warzyw dodają energii i wspomagają leczenie wielu dolegliwości. W książce przedstawiono przepisy, które zainspirują czytelnika do tworzeniawłasnych kompozycji leczniczych na każdą porę roku. ",,"
2009-01-01 ","
2009-01-01 ","
144 ","
polski ",,"

Mała książeczka a ile w niej przydatnych informacji :)
Książka pomimo swoich niewielkich wymiarów zawiera opisy roślin,herbatki które z łatwością można samemu sporządzić na różnego typu dolegliwości jak i nie tylko.
Nie droga, a warta kupienia książeczka. 

Mała książeczka a ile w niej przydatnych informacji :)
Książka pomimo swoich niewielkich wymiarów zawiera opisy roślin,herbatki które z łatwością można samemu sporządzić na różnego typu dolegliwości jak i nie tylko.
Nie droga, a warta kupienia książeczka. 



Pokaż mimo to


",
"
Bomba w górę ",Eugeniusz Halski Wojciech Bukat,"
poradniki ",Oficyna Wydawnicza RYTM,"
9788373993471 ","
Wyścigi konne od I połowy XIX w. stanowią nieodłączną część historii Warszawy. Przez wiele lat rozgrywano je na placu rozciągającym się wzdłuż ulicy Polnej, w czerwcu 1939 r. przeniesiono je na Służewiec, gdzie zbudowano jeden z najpiękniejszych i najnowocześniejszych torów wyścigowych Europy. Autorzy książki wskrzeszają sławę służewieckiego toru, mocno wpisanego w pejzaż stolicy, przez dziesiątki lat spełniającego rolę jej letniego salonu. Śledzimy emocjonujące gonitwy, podziwiamy sławne konie, słynnych dżokei i ich trenerów, poznajemy barwny tłum wypełniający trybuny: znakomitych artystów, znanych dziennikarzy, sławnych sportowców, byłych ziemian, zasobnych cinkciarzy i badylarzy, ludzi z partyjnego establishmentu i stołecznego półświatka. Przyciągała ich na Służewiec przede wszystkim WIELKA GRA rozbudzająca namiętności i emocje było to jedyne miejsce w PRL-u, gdzie funkcjonowała legalna forma hazardu. Na torze na Służewcu można było doświadczyć jednej niedzieli smaku wygranej i bawić się potem upojnie przy szampanie i kawiorze w Cristalu na Marszałkowskiej, by za tydzień przeżyć gorycz totalnej porażki, ale jednak na pytanie: Jak ci poszło na wyścigacha nieodmiennie odpowiadać Wyszedłem na swoje. Niejeden z pechowych graczy na zakończenie sezonu palił program i solennie postanowił, że jego noga już więcej na Służewcu nie postanie. Nic z tego, w maju następnego roku na rozpoczęcie wyścigowego sezonu znowu w gronie kibiców i namiętnych graczy oczekiwał tej niezwykłej chwili, kiedy rozpocznie się pierwsza gonitwa.... Warto sięgnąć po tę zajmującą książkę, autorstwa notorycznych bywalców warszawskiego toru , poddać się magii Wielkiego Wyścigu i Wielkiej Gry służewiecka bomba wciąż przecież idzie w górę! ",,"
2009-01-01 ","
2009-01-01 ","
208 ","
polski ",,"

Momentami nudna. Dla fanów wyścigów konnnych i Służewca. 

Momentami nudna. Dla fanów wyścigów konnnych i Służewca. 



Pokaż mimo to


",
"
Domowe przysmaki. Jak zrobić tradycyjne i zdrowe jedzenie ",Susanne Martin,"
kulinaria, przepisy kulinarne ",Oficyna Wydawnicza MULTICO,"
8370737781 ","
Domowe jedzenie smakuje najlepiej. Nic nie zastąpi własnoręcznie upieczonego chleba, świeżo wędzonej ryby czy dobrze ukiszonej kapusty. zajrzyj do książki Domowe przysmaki i przekonaj się, że przygotowanie własnych, zdrowych i smacznych produktów nie jest wcale trudne. Wystarczy wiedza i odrobina dobrej chęci. W książce przeczytasz o tym: jak upiec chleb z pełnego ziarna na zakwasie, jak przygotować farsz do różnych rodzajów kiełbas, w czym tkwi tajemnica dobrze uwędzonej ryby, z jakich owoców zrobić najlepszy sok lub wino, jaka kapusta jest najlepsza do kiszenia, jak skutecznie przechowywać i konserwować żywność. ",,"
2009-01-01 ","
2009-01-01 ","
328 ","
polski ",,,
"
Jak moje dziecko może nauczyć się wypoczywaća ",Karin Schleider,"
poradniki ",Jedność,"
9788374427357 ","
Wypocząć, odsapnąć, zrobić przerwę to sposób na stworzenie miejsca dla wszystkich nowości, których uczą się dzieci rozpoczynające naukę w szkole. zrelaksowane dzieci potrafią się lepiej koncentrować, lepiej radzą sobie z nauką i mają lepsze kontakty z innymi. Stojące przed nimi wyzwania stają się możliwe do pokonania. Książka zawiera wiele praktycznych wskazówek dotyczących umiejętności relaksacyjnych, które mogą być przydatne dzieciom, ale także rodzicom. znajdują się tu także praktyczne testy, dzięki nim wypoczynek będzie pełniejszy. ",,"
2009-01-01 ","
2009-01-01 ","
88 ","
polski ",,,
"
Zachowania mimetyczne kobiet pod wpływem telewizji i doświadczeń codzienności ",Edyta Łyszkowska,"
nauki społeczne (psychologia, socjologia, itd.) ",Oficyna Wydawnicza Impuls,"
9788375871050 ","
Publikacja koncentruje się na zachowaniach mimetycznych kobiet. Głównym celem badań przeprowadzonych przez autorkę było uchwycenie zacierającej się rzeczywistości wśród badanych kobiet. Dowodzi ona, że obecnie mass media mają ogromne znaczenie w kształtowaniu obrazu rzeczywistości, w tworzeniu ogólnie przyjętych norm i zasad. Szczególnie skutecznym medium jest telewizja ze względu na dynamiczne połączenie obrazu, dźwięku i ruchu, natomiast interesującą grupą odbiorców opisaną w książce są kobiety ze względu na zmieniającą się ich rolę społeczną i polityczną.
Autorka, przedstawiając wyniki wywiadów z kobietami prezentującymi różne style życia, ukazuje wpływ przekazów telewizyjnych na wybrane obszary życia kobiet. Z książki dowiadujemy się między innymi, w jaki sposób telewizja wpływa na życie kobiet, w jakich obszarach i czym jest uwarunkowany wpływ telewizji na zachowanie kobiety, ale także jakie są preferencje telewizyjne kobiet, np. jakie programy oglądają najchętniej i ile czasu spędzają przed telewizorem. ",,"
2009-01-01 ","
2009-01-01 ","
266 ","
polski ",,"

Całkiem ciekawe rozważania, ale ten naukowy język momentami stawał się nie do zniesienia. No ale wiadomo, praca doktorska... 

Całkiem ciekawe rozważania, ale ten naukowy język momentami stawał się nie do zniesienia. No ale wiadomo, praca doktorska... 



Pokaż mimo to


",
