title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Radiografia. Podręcznik dla techników elektroradiologii ",Suzanne Easton,"
zdrowie, medycyna ",Edra Urban & Partner,"
9788376093413 ","
W książce omówione zostały kompleksowo różne zagadnienia związane z pracą technika elektroradiologii. Pierwszych kilka rozdziałów poświęconych jest aspektom etycznym i prawnym oraz opiece nad pacjentem. Następnie opisywane są podstawy fizyczne radiografii oraz budowa aparatów radiologicznych. Osobne rozdziały poświęcone są ochronie radiologicznej oraz systemom zapewnienia jakości, w których to dziedzinach technicy odgrywają olbrzymią rolę. Dokładnie omówione są systemy rejestracji obrazów radiologicznych, zarówno analogowe, jak cyfrowe. Kolejne rozdziały poświęcone są nieradiograficznym metodom obrazowania:: ultrasonografii, tomografii komputerowej, rezonansowi magnetycznemu i medycynie nuklearnej. Część tekstową książki kończą obszerne rozdziały na temat anatomii, fizjologii i najczęstszych zmian patologicznych. ",,"
2011-01-01 ","
2011-01-01 ","
362 ","
polski ",,,
"
Sound ",Caleb Kelly,"
sztuka ",Whitechapel Gallery,"
978-0-85488-187-1 ","
Sound is one of a series documenting major themes and ideas in contemporary art.

The ‘sonic turn’ in recent art reflects a wider cultural awareness that sight no longer dominates our perception or understanding of contemporary reality. The background buzz of myriad mechanically reproduced sounds increasingly mediates our lives. Tuning in to this incessant auditory stimulus some of our most influential artists have investigated the corporeal, cultural and political resonance.

In tandem with recent experimental music and technology, art has opened up to hitherto excluded dimensions of noise, silence and the act of listening. Artists working with sound have engaged in new forms of aesthetic encounter with the city and nature, the everyday and cultural otherness, technological effects and psychological states.

New perspectives on sound have generated a wave of scholarship in musicology, cultural studies and the social sciences. But the equally important rise of sound in the arts since 1960 has so far been sparsely documented. This volume is the first sourcebook to provide, through original critical writings and artists’ statements, a genealogy of sonic pathways into the arts; philosophical reflections on the meanings of noise and silence; dialogues between art and music; investigations of the role of listening and acoustic space; and a comprehensive survey of sound works by international artists from the avant-garde era to the present.

Artists surveyed include Marina Abramović, Vito Acconci, Doug Aitken, Maryanne Amacher, Laurie Anderson, John Cage, Kim Cascone, Martin Creed, Paul DeMarinis, Bill Fontana, Kim Gordon, Dan Graham, Ryoji Ikeda, Mike Kelley, Christina Kubisch, Bernhard Leitner, Alvin Lucier, Len Lye, Christian Marclay, Max Neuhaus, Carsten Nicolai, Hermann Nitsch, Yoko Ono, Nam June Paik, Luigi Russolo, Karin Sander, Mieko Shiomi, Michael Snow and Bill Viola.

Writers include Ralph T. Coe, Christoph Cox, Suzanne Delehanty, William Furlong, Liam Gillick, Paul Hegarty, Branden W. Joseph, Douglas Kahn, Dan Lander, W.J.T. Mitchell, Michael Nyman, R. Murray Schafer, Michel Serres, David Toop and Paul Virilio.

Caleb Kelly is a New Zealand-born writer, curator and producer in the fields of experimental music, sound arts and performance. A lecturer at Sydney College of the Arts, University of Sydney, he is the author of Cracked Media: The Sound of Malfunction (The MIT Press, 2009). ",,"
2011-01-01 ",,"
240 ","
angielski ",,,
"
gadu gadu ",Anna Dwojnych,"
poezja ",Mamiko,"
9788360224762 ","
Anna Dwojnych ur. 21-go czerwca 1988r. w Płocku. Laureatka kilku ogólnopolskich konkursów poetyckich m.in.: im. Jana Śpiewaka i Anny Kamieńskiej, im. Małgorzaty Szułczyńskiej, im. Dionizego Maliszewskiego, „Jesienna Chryzantema”, „O Liść Dębu”, „O Laur Jabłoni” . W 2010 roku zadebiutowała jako performerka wystawiając swój performance w Centrum Sztuki Współczesnej w Toruniu podczas festiwalu „Koło czasu”. Studentka socjologii i filozofii na Uniwersytecie Mikołaja Kopernika w Toruniu, okazjonalnie publicystka. „Gadu Gadu” jest jej debiutem książkowym. ",,"
2011-01-01 ","
2011-01-01 ","
44 ","
polski ",,,
"
Zeszyty Praw Zwierząt nr 1(3)/2011 ",Redakcja Zeszytów Praw Zwierząt,"
czasopisma ",Wydawnictwo Fundacja Viva Akcja dla Zwierząt.,,"
Zapraszamy do zakupu trzeciego numeru Zeszytów Praw Zwierząt.

Nawiązując do poprzedniego numeru staramy się kontynuować temat związków pomiędzy ewolucją i prawami człowieka a prawami zwierząt. Przedstawiamy sylwetkę znanego etologa Marka Bekoffa i przedstawiamy wyniki badań psychologicznych nad zjawiskiem szowinizmu gatunkowego.

W numerze:

My, mięsożercy dyskretny urok dehumanizacji – współczesna psychologia dowiodła intrygujących różnic w postrzeganiu zwierząt przez wegetarian i ludzi jedzących mięsa. Dlaczego i jakie ma to konsekwencje praktyczne pisze Mateusz Olechowski.

Drabina złudzeń – w potocznej interpretacji ewolucji wciąż istnieje wiele błędnych przekonań i poglądów, które zniekształcają prawdziwy obraz teorii Darwina, a tym samym próbują w „naukowy” sposób dowieść naszej wyższości względem innych zwierząt.

Darwin, darwinizm, prawa zwierząt - wracamy do tematu ewolucji i jednocześnie analizujemy postać samego Karola Darwina. Pytamy o jego podejście do problemu praw/ochrony zwierząt.

Wyzwolenie totalne: rewolucja XXI wieku – publikujemy artykuł uznanego działacza na rzecz zwierząt Stevena Besta, który niedawno miał okazję gościć w Polsce z serią wykładów. Best stara się analizować prawa zwierząt w szerokim, polityczno-ekonomicznym, kontekście.

Smutek u zwierząt – Mark Bekoff o zjawisku żałoby wśród zwierząt. Nie tylko ludzie potrafią przeżywać śmierć swoich najbliższych.

Ewolucja etologii – wywiad z Markiem Bekoffem o rozwoju nauk o zachowaniu zwierząt i zmianach w sposobie postrzegania samych zwierząt przez naukę i społeczeństwo. Jak wiele udało nam się osiągnąć i jak wiele jeszcze przed nami. ",,"
2011-01-01 ","
2011-01-01 ",,"
polski ",,,
"
Zasoby osobiste w chorobach psychosomatycznych ",Stanisław Byra,"
nauki społeczne (psychologia, socjologia, itd.) ",Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej,,,,"
2011-01-01 ","
2011-01-01 ",,"
polski ",,,
"
TBiU 2/2011. Samochód Polski Fiat Łazik 508 III W ",Jan Tarczyński,"
militaria, wojskowość ",ZP Grupa Sp. z o.o.,"
9788363324025 ","
Technika Broni i Umundurowanie, (TBiU) - to seria publikacji Wydawnictwa ZP. Każdy zeszyt jest monografią zazwyczaj jednego typu samolotu, pojazdu, broni, uzbrojenia lub munduru.Publikacje zawierają historię jego powstania, opis poszczególnych prototypów i wariantów, opis techniczny, ewentualne zastosowanie bojowe, itpŁazik był małym wozem dowodzenia na niskim szczeblu, poza tym służył do rozpoznania. Była to maszyna półterenowa i w wojsku cieszyła się dużym uznaniem. Takim samym uznaniem cieszyła się na rynku prywatnym osobowa „508-ka” i cała jej produkcja była stale wysprzedana naprzód, a gdy min. Piasecki (Julian, wiceminister komunikacji – przyp. J. T.) w 1936 roku ograniczył jej produkcję, popyt na nie spowodował konieczność importowania tego typu samochodu w pewnej ilości z Włoch.”(…) Dyrektor techniczny PZinż. w latach 1937–1939 inż. Jan Dąbrowski, stwierdził przed wspomnianą „Komisją…” 27 listopada 1941 roku, że „Łazik”, budowany na podwoziu samochodu Polski Fiat 508 III, miał być w założeniu konstrukcją nieskomplikowaną: „coś w rodzaju czterokołowego motocykla”. ",,"
2011-01-01 ","
2011-01-01 ",,"
polski ",,,
"
Czy jesteś moja mamusią? Mały miś polarny ",praca zbiorowa,"
literatura dziecięca ",Firma Księgarska Olesiejuk,"
9788377088982 ","
Mały miś polarny szuka swojej mamy. Spotyka wiele zwierząt, ale żadne nie potrafi mu pomóc. Czy misiowi uda się odnależć mamusię?
Dzięki tej prostej i uroczej historii dzieci poznają nowe słówka i z pewnością zachwycą się przyjaznymi postaciami i barwnymi ilustracjami. ","
Are You My Mummy? Little Polar Bear ","
2011-01-01 ","
2011-01-01 ","
12 ","
polski ","
Anna Bańkowska-Lach ",,
"
Pamiętnik mojego życia. Rzecz o Henryku Sienkiewiczu cz.1 ",Anna Cybulska,"
literatura młodzieżowa ",Muzeum Henryka Sienkiewicza,"
9788390713793 ","
Pierwszą cześć książki, napisanej w sposób nowatorski przez Annę Cybulską, wydało Muzeum Henryka Sienkiewicza. Pamiętnik przybliża istotne aspekty życia i twórczości Henryka Sienkiewicza, w tym lat dziecinnych na Ziemi Łukowskiej.

Część pierwsza biograficznej opowieści dokładnie zarysowywała dzieciństwo i młodość pisarza. Ukazane w niej uwarunkowania pasji, zainteresowań, kształtowania się i rozwijania zdolności stanowiły wspaniały przykład, którego śladem mógłby pójść każdy człowiek, by znaleźć się na właściwej drodze życia. Innych zalet publikacji również nie brakuje, gdyż nie tylko zaznajamia z biografią nieprzeciętnego pisarza, wsławionego obywatelską postawą i autorytetem na arenie międzynarodowej, ale wprowadza tym samym w świat uniwersalnych wartości, kształci umysłowość i kompetencje intelektualne. Oprócz funkcji poznawczej i wychowawczej obrazkowa historia życia Sienkiewicza inspiruje także do działań artystycznych, rozwijających umysłowość młodych ludzi. ",,"
2011-01-01 ","
2011-01-01 ","
38 ","
polski ",,,
"
Kajtuś. Gdzie jest Gilbert ",praca zbiorowa,"
bajki ",Rea,"
9788375443288 ","
Po zniknięciu Gilberta, Kajtuś i mama w całym domu szukają wskazówek, które pomogą w odnalezieniu kryjówki kota. ",,"
2011-01-01 ","
2011-01-01 ",,"
polski ",,,
"
Gdyby czas był ziemią ",BogusŇāawa Latawiec,"
poezja ",Towarzystwo Przyjaci√≥Ňā Sopotu,"
9788361002451 ","
Tomik poetycki. ",,"
2011-01-01 ","
2011-01-01 ","
62 ",,,,
