title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Pierwsza miłość ",Samuel Beckett,"
literatura piękna ",Wydawnictwo Literackie,,"
""Pierwsza miłość"" jest monologiem, zapisem wspomnień włóczęgi i nędzarza, który snuje swą opowieść w sposób zapewne chimeryczny, ale odpowiadający wiernie tokowi jego myśli. Odkrywamy w nim obraz absurdalnej wegetacji człowieka błąkającego się z konieczności na marginesach społeczeństwa. ","
Premier amour ","
1973-01-01 ","
1973-01-01 ","
40 ","
polski ","
Maria Ziębina ","

W ""Pierwszej Miłości"" Beckett nie marnuje czasu czytelnika. Niestety, nie jest to żaden ""Obcy"" Camusa. Niemniej jednak, warto przeczytać. Pewne jest jedno - czasu nie stracicie. 

W ""Pierwszej Miłości"" Beckett nie marnuje czasu czytelnika. Niestety, nie jest to żaden ""Obcy"" Camusa. Niemniej jednak, warto przeczytać. Pewne jest jedno - czasu nie stracicie. 



Pokaż mimo to


;

Czyta się dobrze. Forma, która wybrał autor jest adekwatna do prezentowania przemyśleń, a więc akapity są długie, widać igranie z interpunkcją, a ze zdań czasem ciężko cokolwiek wywnioskować. Opowiadanie jest ciekawe i myślę, że ze względu na jego długość (a raczej niedługość) można dać mu szansę. 

Czyta się dobrze. Forma, która wybrał autor jest adekwatna do prezentowania przemyśleń, a więc akapity są długie, widać igranie z interpunkcją, a ze zdań czasem ciężko cokolwiek wywnioskować. Opowiadanie jest ciekawe i myślę, że ze względu na jego długość (a raczej niedługość) można dać mu szansę. 



Pokaż mimo to


;

Krótka proza, w której bohater, człek wyalienowany, pod kilku względami osobliwy, pod innymi banalny, opisuje swoje przeżycia związane: a) ze zmarłym ojcem, b) z kobietą obyczajów swobodnych, z którą popadł w swoisty związek. Napisane dobrze, przetłumaczone nieco gorzej. Istotny przyczynek do dziejów męskiej szowinistycznej świńskości. 

Krótka proza, w której bohater, człek wyalienowany, pod kilku względami osobliwy, pod innymi banalny, opisuje swoje przeżycia związane: a) ze zmarłym ojcem, b) z kobietą obyczajów swobodnych, z którą popadł w swoisty związek. Napisane dobrze, przetłumaczone nieco gorzej. Istotny przyczynek do dziejów męskiej szowinistycznej świńskości. 



Pokaż mimo to


;

Monolog człowieka zakochanego. W pewnych momentach zabawny, w innych smutny. Autor zastanawia się, co właściwie czuje i czy jego czyny są aby na pewno potwierdzeniem jego uczuć. 

Monolog człowieka zakochanego. W pewnych momentach zabawny, w innych smutny. Autor zastanawia się, co właściwie czuje i czy jego czyny są aby na pewno potwierdzeniem jego uczuć. 

Oznaczone jako spoiler 

Pokaż mimo to


","
Fetor trupów, który percypuję wyraźnie spod woni trawy i ziemi nie jest mi nieprzyjemny. Trochę może zanadto słodkawy, trochę odurzający, ale o ile bardziej go wolę od odoru żyjących pach, stóp, tyłków, łojowatych napletków i poronionych jaj. (...) Na próżno się myją żywi, na próżno się perfumują, i tak śmierdzą. ;
Źle wtedy znałem kobiety. Znam je zresztą nadal źle. Mężczyzn także. Zwierzęta także. To, co znam najlepiej, to swoje cierpienia. ;
To, co nazywają miłością, to wygnanie, z pocztówką z bliskich sobie okolic, od czasu do czasu"". "
"
250 razy o sztuce polskiej ",Przemysław Trzeciak,"
sztuka ",Nasza Księgarnia,,"
Przemysław Trzeciak znany czytelnikom ze swej książki „Tysiąc tajemnic architektury”, podjął tym razem próbę opracowania popularnego słownika sztuki polskiej.
W ułożonych alfabetycznie ponad dwustu pięćdziesięciu hasłach autor zawarł dzieje naszego malarstwa, rzeźby, grafiki i rzemiosła artystycznego na przestrzeni tysiąca lat.
Sylwetki twórców, omówienia wybitnych dzieł sztuki, charakterystyki okresów i zjawisk stylowych, grup artystycznych itd. Składają się na bogatą panoramę dorobku artystycznego Polski.
Wiele miejsca poświęca autor dziełom rzemiosła artystycznego, przeważnie anonimowym, mało na ogół znanym miłośnikom sztuk pięknych. Troskliwie dobrane ponad 450 ilustracji oraz wiele autentycznych wypowiedzi twórców i krytyków o sztuce stanowi cenne uzupełnienie tekstu.
Zainteresowani znajda tu wskazówki bibliograficzne, umożliwiające dokładniejsze zapoznanie się z poszczególnymi tematami. Książka opatrzona jest także w skorowidze, ułatwiające dotarcie do odpowiednich haseł, i słowniczek mniej znanych określeń. ",,"
1973-01-01 ","
1973-01-01 ","
334 ","
polski ",,,
"
Dix ans avec Alexandra David-Néel ",Marie-Madeleine Peyronnet,"
biografia, autobiografia, pamiętnik ",Plon,,"
Une jeune femme rencontra un jour, à Aix-en-Provence, une célèbre exploratrice et philosophe de quatre-vingt-dix ans passés. Fascinée par son intelligence et sa vitalité, elle décida de lui consacrer trois mois de sa vie. Dix ans plus tard, Marie-Madeleine Peyronnet fermait les yeux d'Alexandra David-Néel qu'elle n'avait pas quittée. Avec un mélange de tendre respect et d'humour lucide, elle trace ici le portrait d'une femme hors série, véritable force de la nature, que ni l'âge ni les infirmités n'ont pu abattre ",,"
1973-01-01 ",,"
224 ","
francuski ",,,
"
Twórcy kultury holenderskiej ",Jan Romein,"
historia ",Państwowy Instytut Wydawniczy,,,"
Erflaters van onze beschaving ","
1973-01-01 ","
1973-01-01 ","
308 ","
polski ","
Jerzy Hummel ","

Znakomita opowieść o Holandii i jej kulturze . Choć szkoda że nie jest to nowsza opowieść.Polskie wydanie ukazało się w 1973 roku .To kawał czasu . Przydałoby się coś nowszego.Niemniej książka broni się przed upływem czasu ....Polecam każdemu miłośnikowi Holandii, historii i antropologii 

Znakomita opowieść o Holandii i jej kulturze . Choć szkoda że nie jest to nowsza opowieść.Polskie wydanie ukazało się w 1973 roku .To kawał czasu . Przydałoby się coś nowszego.Niemniej książka broni się przed upływem czasu ....Polecam każdemu miłośnikowi Holandii, historii i antropologii 



Pokaż mimo to


",
"
Gwiazdy z kraju północy ",Jerzy Jan Piechowski,"
powieść historyczna ",Instytut Wydawniczy PAX,,"
To nie jest biografia Kopernika, dokładna, uwzględniająca wszystkie znane fakty od urodzin do śmierci. Powieść Piechowskiego - autora kilku już powieści historycznych, ukazuje dramatyczne starcie dwu wielkich indywidualności: młodego uczonego i starzejącego się dyplomaty, a przy tym reprezentanta władzy kościelnej, suwerena Warmii, doradcy królów - jego wuja i opiekuna Watzenrodego. Watzenrode widzi niebezpieczeństwo przewrotu, jakiego dokonać może w umysłach ówczesnych obalenie uznanej, uświęconej najwyższymi autorytetami teorii o Ziemi i człowieku jako centrum wszechświata. Ma władzę udaremnienia odkrycia Kopernika; korzysta z tej władzy w sposób bezwzględny, aż do użycia siły.
Ten dramat uczuć bliskich sobie ludzi, dramat przekonań i racji - mocno osadzony jest w wystroju, klimacie i pejzażu Polski Zygmuntowskiej, bogatym, pełnym barw. Sceny z koronacji królewskiej, śmierć i pogrzeb suwerena, sceny batalistyczne, a nade wszystko krajobrazy z Warmii, z puszcz i jezior, z gwarnych strojnych miast, asystujących uroczystościom monarszym, mroczne opowieści z krzyżackiej ""szkoły janczarów"", opisy intryg i egzekucji - to mocne akcenty w tej powieści. ",,"
1973-01-01 ","
1973-01-01 ","
283 ","
polski ",,"

Dla pięknego stylu. Fabuła mało dynamiczna, przez co trochę nudna. Interesujący portret trzech osób: biskupa i księcia Warmii Łukasza Watzenrode oraz pretendentów do schedy po nim, dwóch kanoników - Fabiana Luzjańskiego i Mikołaja Kopernika. 

Dla pięknego stylu. Fabuła mało dynamiczna, przez co trochę nudna. Interesujący portret trzech osób: biskupa i księcia Warmii Łukasza Watzenrode oraz pretendentów do schedy po nim, dwóch kanoników - Fabiana Luzjańskiego i Mikołaja Kopernika. 



Pokaż mimo to


",
"
Bój ",Wacław Biliński,"
literatura piękna ",Wydawnictwo Ministerstwa Obrony Narodowej,,"
""Przez otwarte okno napływało powietrze świeże, ostre i nasycone wonią świerkowego lasu. Zyllę opanowało radosne uczucie, całkiem jak przed laty, kiedy wracał z miasta do rodzinnego domu na wakacje. Podczas jego wielomiesięcznej nieobecności nic tu się nie zmieniło, w izbie ..."" ",,"
1973-01-01 ","
1954-01-01 ","
188 ","
polski ",,,
"
Gdybym miał szarego słonia ",Grete Janus Hertz,"
literatura dziecięca ",TM-Semic,"
8386187034 ",,"
Bare jeg havde en gra elefant ","
1973-01-01 ","
1973-01-01 ","
26 ","
polski ","
Małgorzata Kamyk ",,
"
Świat Grecki ",Pierre Leveque,"
historia ",Wydawnictwo Naukowe PWN,,"
Starożytna Grecja do I w. p.n.e. ","
L'aventure Grecque ","
1973-01-01 ","
1973-01-01 ","
577 ","
polski ","
Joanna Olkiewicz ",,
"
Spirala ",Anne Philipe,"
literatura piękna ",Książka i Wiedza,,"
Anne Philipe pisze o uczuciach, które wywołuje w nas natura... Pejzaż za oknem, ogród, plaża, las... Wędrując z autorką przez kolejne pory roku zaczynamy zdawać sobie sprawę z ulotności życia ludzkiego. W końcu żadna kobieta, ani żaden mężczyzna nie pozostanie niewzruszony, kiedy pisze się o tak ważnych kwestiach jak: życie i śmierć, niesprawiedliwość i nędza czy miłość i samotność. ","
Spirale ","
1973-01-01 ","
1973-01-01 ","
102 ","
polski ","
Ewa Fiszer ",,
"
Pradzieje ziem pruskich od późnego paleolitu do VII w. n.e. ",Jerzy Okulicz,"
historia ",Ośrodek Badań Naukowych im. Wojciecha Kętrzyńskiego w Olsztynie,,,,"
1973-01-01 ","
1973-01-01 ","
586 ","
polski ",,,
