title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Ekonometria. Wybrane zagadnienia ",Bolesław Borkowski,"
biznes, finanse ",Wydawnictwo Naukowe PWN,"
8301140593 ","
Niniejszy podręcznik zawiera niezbędne minimum programowe z zakresu ekonometrii, wymagane na kierunkach ekonomicznych i rolniczych. Prezentuje modele ekonometryczne w sposób zwięzły i zrozumiały, niewymagający zaawansowanej wiedzy matematycznej. Zagadnienia teoretyczne zilustrowano licznymi przykładami empirycznymi, opartymi na najnowszych danych. Książka zawiera zadania przeznaczone do samodzielnego rozwiązania, wraz z odpowiedziami. Bibliografia obejmuje pozycje zarówno polskie, jak i zagraniczne z ostatnich lat. ",,"
2004-01-01 ","
2004-01-01 ","
290 ","
polski ",,,
"
Wokół genezy PRL ",Grzegorz Górski,"
powieść historyczna ",Wydawnictwo Katolickiego Uniwersytetu Lubelskiego,"
8373632042 ",,,"
2004-01-01 ","
2004-01-01 ","
159 ","
polski ",,,
"
A.D.N. -2- L'ange Noir ",Bruno Rocco,"
komiksy ",GLENAT,,,,"
2004-01-01 ",,"
46 ","
francuski ",,,
"
Koła czasu ",Jan Hyjek,"
literatura dziecięca ",Hlondianum,"
83-85203-97-4 ","
Jedna z serii książek adresowana do młodzieży. Opowiada o odkrywaniu własnych przeznaczeń, budzeniu się przyjaźni, pierwszych miłości. To także opowieść o rozterkach wieku dojrzewania. Dalszy ciąg losów bohatera powieści ""Nie oglądaj się wstecz..."" Napisana klarownym i prostym językiem sprawia, że czyta się ją szybko i chętnie. ",,"
2004-01-01 ","
2004-01-01 ","
244 ","
 polski ",,,
"
Marialis Cultus ",Paweł VI,"
religia ",Wydawnictwo Wrocławskiej Księgarni Archidiecezjalnej TUM,"
8388301780 ","
Adhortacja apostolska papieża Pawła VI o kulcie maryjnym. ","
Marialis Cultus ","
2004-01-01 ","
2004-01-01 ",,"
polski ",,,
"
Unia Europejska, tom 1 ",Elżbieta Kawecka-Wyrzykowska,"
biznes, finanse ",Instytut Koniunktury i Cen Handlu Zagranicznego,"
83-87205-99-0 ","
W książce omówiono główne etapy rozwoju Wspólnot Europejskich i Unii Europejskiej oraz istotę i praktykę integracji w ramach tego ugrupowania. W szczególności analizą objęto instytucje Wspólnot, zasady ich funkcjonowania oraz procedurę podejmowania decyzji, a także swobody jednolitego rynku wewnętrznego, wspólne polityki, w tym zwłaszcza rolną, regionalną, transportową, ochrony środowiska, handlową, walutową oraz wspólny budżet. Wymienione dziedziny składają się na I filar UE. Przedstawiono także wspólną politykę zagraniczną i bezpieczeństwa (filar II) oraz obszar wolności, bezpieczeństwa i sprawiedliwości obejmujący współpracę w zakresie wymiaru sprawiedliwości i spraw wewnętrznych (filar III).

W opisie powyższych zagadnień starano się uwzględnić stan prawa wspólnotowego na połowę 2004 r. Przedstawiono również najważniejsze postanowienia Traktatu ustanawiającego Konstytucję dla Europy, uzgodnionego 18 czerwca 2004 r. przez przywódców 25 państw członkowskich UE podczas posiedzenia Rady Europejskiej.

Książkę zamyka syntetyczny rozdział o głównych etapach dochodzenia Polski do członkostwa w UE (stowarzyszenie, wypełnianie warunków członkostwa, organizacja procesu dostosowawczego i negocjacji akcesyjnych, a także rokowań) - ich zwieńczeniem stał się omówiony traktat akcesyjny.

Powyższe rozważania kontynuowane są w tomie II pt. ""Polska w Unii Europejskiej"", gdzie zawarto pierwsze oceny skutków przystąpienia Polski do UE w najważniejszych dziedzinach gospodarki i polityki gospodarczej, a także opis doświadczeń Polski związanych z udziałem w procesie decyzyjnym UE w charakterze obserwatora. ",,"
2004-01-01 ","
2004-01-01 ","
488 ","
polski ",,,
"
Porzuć swoją przeszłość czyli o uzdrowieniu pamięci ",Brat Remi,"
literatura piękna ",List,"
8391349667 ","
Książka Brata Remi to pozycja dla tych, którzy mają odwagę w obecności Pana Boga sięgnąć głęboko w swoją przeszłość i rozpoznać w niej te trudne momenty, które przeszkadzają nam żyć. Brat Remi przekonuje, że przeszłości, nawet tej związanej ze złem i grzechem, nie można usunąć ze swojego życia — ona też jest wartością. Autor ma za sobą wieloletnie doświadczenie w prowadzeniu ludzi do zrozumienia siebie. Opowiada o własnych zranieniach, nie boi się sięgać do snów i przeczuć, analizuje wizje, które podsuwa wyobraźnia. ",,"
2004-01-01 ","
2004-01-01 ",,"
polski ","
Zofia Pająk ",,
"
Sarmaci i Germanie ",Andrzej Kokowski,"
historia ",Wydawnictwo Uniwersytetu Marii Curie-Skłodowskiej,"
8322722389 ","
Publikacja jest pierwszym tomem serii ""Studia Sarmatica"", która ma upowszechniać wyniki badań nad kulturą ludów koczowniczych na różnych poziomach - od opracowań syntetycznych, po studia źródłoznawcze i szczegółowe analizy specjalistyczne.

Spis treści:
Andrzej Kokowski – Studia Sarmatica
Andrzej Kokowski – Przyczynek do historii kontaktów Germanów i Sarmatów w świetle badań archeologicznych
Marcin Juściński, Andrzej Kokowski, Barbara Niezabitowska – Pochówek księżniczki z Gordeevki jako przykład kumulacji elementów kulturowych z różnych części sarmackiego i antycznego świata starczego okresu rzymskiego
Monika Michalec – Zabytki koralowe na obszarze kultury sarmackiej
Barbara Niezabitowska – Lustra z kolekcji wrocławskiej
Sylwester Sadowski – Miecz z grobu 8 z cmentarzyska Zvenyhorod ",,"
2004-01-01 ","
2004-01-01 ","
295 ","
polski ",,,
"
Słownik chromatografii i elektroforezy ",Edward Bald,"
encyklopedie, słowniki ",Wydawnictwo Naukowe PWN,"
8301143258 ","
Słowniki specjalistyczne są niezbędną pomocą naukową przy studiowaniu literatury fachowej.
Problemy związane z terminologią dotyczą wszystkich rozwijających się dziedzin, w tym także chromatografii i elektroforezy.

W niniejszym Słowniku podjęto próbę uporządkowania fachowego słownictwa dotyczącego tych zagadnień.
Terminy poszczególnych działów chromatografii oraz pokrewnych technik rozdzielania wyjaśniono w zwięzły i zrozumiały sposób, uwzględniając wskazania Międzynarodowej Unii Chemii Czystej i Stosowanej (IUPAC) oraz współczesny stan wiedzy.
Autorami Słownika są członkowie Komisji Analizy Chromatograficznej Komitetu Chemii Analitycznej Polskiej Akademii Nauk, specjaliści zajmujący się teorią i praktyką poszczególnych działów chromatografii.

Książka przydatna jest dla studentów chemii, farmacji i nauk biologicznych, dla pracowników naukowych, praktyków analityków oraz wszystkich zainteresowanych tą dziedziną wiedzy. ",,"
2004-01-01 ","
2004-01-01 ","
112 ","
polski ",,,
"
Dziennik pszowski. 44 kartki o ludziach, miejscach, Śląsku i tęsknocie ",Jerzy Szymik,"
biografia, autobiografia, pamiętnik ",Księgarnia św. Jacka,"
8370303021 ","
Znakomity, poruszający zapis chwil spędzonych przez Autora w Pszowie: impresje, dokumenty, wspomnienia. A wszystko na znakomitym poziomie literackim, do którego ks. Szymik, ceniony śląski teolog i poeta przyzwyczaił swych licznych czytelników już od lat i w pięknej formie edytorskiej (pastelowa akwarela na okładce, twarda oprawa, foliowana matowo, wybiórczo lakierowana, delikatny papier objętościowy, kilkadziesiąt znakomitych czarno-białych zdjęć, rycin i archiwalnych pszowskich fotografii). 

Sam Autor tak opisuje swój ""Dziennik"": 
Pszów jest dla mnie centrum wszechświata, oczywiście. Mówię to często, mówię bez pychy i bez kompleksu. I bez kokieterii. Miejsce jak każde inne - obiektywnie (ani lepsze, ani gorsze). Ale jedyne, bo moje. Moim najsilniejszym instynktem życiowym, duchowym, najgłębszą pasją - jest duszpasterstwo. I pisanie o Pszowie jest dla mnie duszpasterstwem: chcę namówić moich czytelników, by pokochali swoje życie. Bo to jeden z najważniejszych wymiarów miłości Boga, miłości w ogóle. ...coraz częściej sięgam po notatnik podczas tzw. ""zwykłego życia"". Jeszcze kilka lat temu robiłem bieżące notatki jedynie podczas podróży czy robiąc szkice do wierszy. Część ""kartek dziennika"" jest takim właśnie ""złapaniem codziennej chwili na gorącym uczynku"". 

Żyjemy w czasach (czy je nazwiemy postmodernizmem, czy inaczej - nieważne), kiedy silva rerum, zderzenie gatunków w literaturze, eksperymenty formalne - są modne. Tak się lubi pisać, tak sie lubi czytać. Nie obrażam się na to, a wręcz przeciwnie: chcę się od swoich czasów tego uczyć. Nie wolno się obrażać na swój czas - Bóg mi ten czas dał jako czas mojego życia. Czyli jest to dla mnie czas najlepszy z możliwych. Trzeba docierać do wrażliwości moich współczesnych (nie żyję przecież w XVII w. ani nie będę żył w wieku XXII). Czyli: małe narracje, wielkie tematy. Wieczność przeglądająca się w dzisiaj... Skrawki kazań, esejów, zanotowany kolor nieba, wiersz, kontekst łzy spadającej na kartkę, na trawę. 

Książka wydana w dniu XXV. rocznicy święceń kapłańskich Autora zawiera kilkadziesiąt fotografii związanych z osobami i miejscami opisywanymi w książce. Znajdziemy w niej nieszablonowe, ciekawe fotografie Pszowa, ludzi, żyjących w nim od lat oraz wiele archiwalnych zdjęć wyszperanych w starych albumach rodziny Szymików. ",,"
2004-01-01 ","
2004-01-01 ","
44 ","
polski ",,,
