title,author,categories,publishing,isbn,description,orginalTitle,date,datePol,pages,lang,translator,comments,quotes
"
Major Downar przechodzi na emeryturę ",Zygmunt Zeydler-Zborowski,"
kryminał, sensacja, thriller ",Wydawnictwo Iskry,"
8320705428 ","
Nad brzegiem niezbyt szerokiego kanału spostrzegł siedzącą tuż nad wodą kobietę. Kształt głowy i pochylone plecy jakby znajome. W pobliżu nie było nikogo. Wydawało mu się, że ta kobieta rozważa ewentualność rzucenia się do kanału. Przyśpieszył kroku. Nie maiał pewności, czy kobieta go widziała, szedł więc bardzo ostrożnie, starając się nie robić najmniejszego hałasu. Był zdecydowany przeszkodzić samobójstwu. Stanął za jej plecami i wtedy już nie miał wątpliwości. Żona tego ryżego blondyna. Dobrzyńska. Usłyszała kroki czy też tylko wyczuła jego obecność. Nie odwracając głowy powiedziała: 
- odejdź. Odejdź, bo będę krzyczeć. Idź sobie. Odejdź. to nic nie da. Między nami wszystko skończone. Rozumiesz? Wszystko! - przy ostatnich słowach podniosła głos. ",,"
1984-01-01 ","
1984-01-01 ","
208 ","
polski ",,"

Jak prawie wszystkie książki autora z tej serii, tak i ta jest łatwa, lekka i przyjemna, oczywiście są tu różnego rodzaju ""zbiegi okoliczności"" w fabule, które miały wyjaśniać wszystko, więc miejscami jest trochę naiwnie, ale w tych książkach o to właśnie chodzi! To nie ma być filozoficzna rozprawa z przestępcą, tylko książka do pociągu a w tej roli sprawdza się ona wyśmienicie. 

Jak prawie wszystkie książki autora z tej serii, tak i ta jest łatwa, lekka i przyjemna, oczywiście są tu różnego rodzaju ""zbiegi okoliczności"" w fabule, które miały wyjaśniać wszystko, więc miejscami jest trochę naiwnie, ale w tych książkach o to właśnie chodzi! To nie ma być filozoficzna rozprawa z przestępcą, tylko książka do pociągu a w tej roli sprawdza się ona... 

więcej



mniej





Pokaż mimo to


;

Miałem lekkie wrażenie, że książka była napisana tak na doczepkę, jak odgrzewany kotlet, ale jednak nie ma się do czego tu przyczepić. Downar jedzie z orbisowską wycieczką do Włoch, a po powrocie pomaga w śledztwie ws. śmierci jednego z jej uczestników - dobre czytadło na zimowy wieczór, polecam. 

Miałem lekkie wrażenie, że książka była napisana tak na doczepkę, jak odgrzewany kotlet, ale jednak nie ma się do czego tu przyczepić. Downar jedzie z orbisowską wycieczką do Włoch, a po powrocie pomaga w śledztwie ws. śmierci jednego z jej uczestników - dobre czytadło na zimowy wieczór, polecam. 



Pokaż mimo to


;

Z wielkim sentymentem wracam do kryminałów PRL-u. Niewielkie objętościowo, małych rozmiarów, zawierają wszystko to, czego w kryminałach mi potrzeba. Kiedyś czytałam je pasjami i może nawet nieświadomie czytam teraz po raz enty. To nic. 
Żałuję jedynie,że tak trudno znaleźć je w bibliotekach... Wydawnictwa mają obecnie swoich Mrozów i Bondy, więc po co im jakiś tam przeżytek... 
Według mnie Zeydler -Zborowski nie kluczy, nie błądzi, nie wciska jakichś nowatorskich i nowomodnych psychologicznych profili. Nie stawia na marketingowe chwyty. Może i jest zbyt grzeczny i milicjanci nie klną, jak u Ćwirleja, ale zaskakująco dobrze dedukują. Prowadzą metodycznie śledztwo, szukają motywów i łączą wszystkie wątki. 

Dla mnie interesująca lektura. Inni, młodsi ode mnie, wychowani na goliźnie i krwistych jatkach uznają ją pewnie za kryminalnego dinozaura (?). 

Z wielkim sentymentem wracam do kryminałów PRL-u. Niewielkie objętościowo, małych rozmiarów, zawierają wszystko to, czego w kryminałach mi potrzeba. Kiedyś czytałam je pasjami i może nawet nieświadomie czytam teraz po raz enty. To nic. 
Żałuję jedynie,że tak trudno znaleźć je w bibliotekach... Wydawnictwa mają obecnie swoich Mrozów i Bondy, więc po co im jakiś tam... 

więcej



mniej





Pokaż mimo to


;

Major Downar przechodzi na emeryturę to całkiem dobry milicyjny kryminał. Nie ma tu co prawda nikogo na miarę genialnego Poirota, ale jest całkiem sporo dobrej milicyjnej roboty i wcale nie łatwa zagadka. Książeczka mimo niewielkiej objętości nie jest powierzchowna i jest tu wszystkiego w sam raz tyle żeby miło spędzić wieczór czy dwa. 

Major Downar przechodzi na emeryturę to całkiem dobry milicyjny kryminał. Nie ma tu co prawda nikogo na miarę genialnego Poirota, ale jest całkiem sporo dobrej milicyjnej roboty i wcale nie łatwa zagadka. Książeczka mimo niewielkiej objętości nie jest powierzchowna i jest tu wszystkiego w sam raz tyle żeby miło spędzić wieczór czy dwa. 



Pokaż mimo to


;

Zła powieść kryminalna. To napiszę od razu, jeśli, nawet w trakcie lektury, ktoś zacznie odnosić przeciwne wrażenie, to będzie ono błędne. A to możliwe, że w trakcie lektury wyda ci się, że to wcale nie jest takie złe. Cóż, kusi stwierdzenie o ""powieści niewykorzystanych szans"", ale to nieprawda. To powieś na którą zwyczajnie nie było pomysłu, ale było dość rutyny, by do czasu udawać, że jest.

Przede wszystkim sama intryga kryminalna nosi na sobie piętno czegoś najgorszego, co może się przytrafić kryminałowi. Nie chodzi o naiwność, o to, że jest naciągany, o małe prawdopodobieństwo psychologiczne - to wszystko jest jeszcze do zniesienia. Chodzi o rozwiązanie typu deus ex machina. W tej książce nawet bardziej niż zwykle bolesne, bo w końcówce pojawiają się nawet, jako mniej lub bardziej współwinne, zupełnie nowe postacie. To chyba największy grzech, jaki można sobie wyobrazić w intrydze kryminalnej. To jest najważniejszy składnik zjawiska, które wzmiankowałem powyżej - tak,w pewnym momencie jesteśmy na serio ciekawi ""kto, z kim i dlaczego"". By w finale dowiedzieć się, że ten z tym, ta z tą i tyle. Nijak to z fabuły nie wynika, nijak nie mamy szansy odkryć tego choćby na minutę przed panem majorem.

Język jest przejrzysty, jednolity i gładki. Aż zbyt, jak na powieść o grupie ludzi, którzy się zbijają. Zero emocji w tym wszystkim, zero utożsamienia się z losem postaci przez Autora, choćby jakiegoś pośredniego.

Siatka połączeń między postaciami kuleje. Na wycieczce orbitowskiej połowa uczestników znała się już wcześniej? I to dobrze. WTF? Co ciekawe stwierdzenie, że ""Warszawa to bardzo małe miasto i bardzo rozplotkowane"" pada w tekście, ale bez przesady.

Akcja przyśpiesza pod koniec w sumie tak jak powinna, warsztatowo tempo jest w porządku, ale to słaby plus. Zresztą już wspominałem o tym - co z tego, że pod koniec akcja przyśpiesza, skoro samo zakończenie to deus ex machina.

Powieść nie sprawdza się jako kronika świata. Nie dowiadujemy się niczego o badylarzach - mimo, iż to ważny motyw - o kontaktach ludzi z PRLu z zagranicą itd. Ot, kolejne scenki. A, znów, mamy w raz czy dwa prawo mieć nadzieję, że Autor miał na ową wizję świata jakiś pomysł. I to, po raz kolejny, to nie jest tak, że miał szansę i ją zmarnował. Nigdy jej nie miał, nigdy chyba tego nie planował.

Nie polecam. 

Zła powieść kryminalna. To napiszę od razu, jeśli, nawet w trakcie lektury, ktoś zacznie odnosić przeciwne wrażenie, to będzie ono błędne. A to możliwe, że w trakcie lektury wyda ci się, że to wcale nie jest takie złe. Cóż, kusi stwierdzenie o ""powieści niewykorzystanych szans"", ale to nieprawda. To powieś na którą zwyczajnie nie było pomysłu, ale było dość rutyny, by do... 

więcej



mniej





Pokaż mimo to


;

Mamy prawie połowę lat 80. i, cóż, czas płynie nieubłaganie i oto major Dowbor przechodzi na emeryturę. Z tej okazji funduje sobie ""podróż życia"" do słonecznej Italii. Jak to często bywa, rzeczywistość mija się z marzeniami: kraj jest co prawda piękny, zabytki wspaniale, jedzenie pyszne, ale towarzystwo na wycieczce pozostawia wiele do życzenia. Downar wbrew woli zostaje zdemaskowany jako (były) milicjant i wciągnięty w układy i układziki między współtowarzyszami podróży (którzy, jak się okazuje, są dobrymi znajomym z Warszawy - to u ZZZ norma, stolica w jego książkach jest jak małe miasteczko, w którym wszyscy się znają). Na wycieczce dzieją się dziwne rzeczy, a po powrocie do Polski jeden z jej uczestników zostaje otruty. Walczak, który prowadzi śledztwo, prosi Downara o pomoc...

Kiedy czytałam tę książkę w młodości, zachwycał mnie egzotyczny anturaż. Dziś, wiadomo, Włochy to nic nadzwyczajnego, któż tam nie był ;). 
Jest to jedna z ostatnich powieści ZZZ, napisana po siedemdziesiątce i niestety widać, że pomysły na intrygi kryminalne już mu się wyczerpały. Jeśli odrzucimy uroki Italii, zostaje kryminalna fabuła. Dosyć cienka. Tym niemniej miło było się spotkać, ten ostatni raz, z sympatycznym i bystrym Downarem. 

Mamy prawie połowę lat 80. i, cóż, czas płynie nieubłaganie i oto major Dowbor przechodzi na emeryturę. Z tej okazji funduje sobie ""podróż życia"" do słonecznej Italii. Jak to często bywa, rzeczywistość mija się z marzeniami: kraj jest co prawda piękny, zabytki wspaniale, jedzenie pyszne, ale towarzystwo na wycieczce pozostawia wiele do życzenia. Downar wbrew woli zostaje... 

więcej



mniej





Pokaż mimo to


;

Major Downar odpoczywa w słonecznej Italii, a po powrocie szuka grzybowego truciciela. 

Major Downar odpoczywa w słonecznej Italii, a po powrocie szuka grzybowego truciciela. 



Pokaż mimo to


;

Ciąg dalszy eksploracji biblioteczki u dziadków. Ksiżką trochę trąci myszką, ale w tym tkwi jej urok. Fabuła ciekawa, nad całością unosi się duch PRL. Lekka opowiastka, do przeczytania w jeden wieczór. 

Ciąg dalszy eksploracji biblioteczki u dziadków. Ksiżką trochę trąci myszką, ale w tym tkwi jej urok. Fabuła ciekawa, nad całością unosi się duch PRL. Lekka opowiastka, do przeczytania w jeden wieczór. 



Pokaż mimo to


",
"
Przez trzy puszcze ",Grzegorz Rąkowski,"
turystyka, mapy, atlasy ",PTTK Kraj,,"
Opis szlaków turystycznych w Lasach Lipskich, Lasach Janowskich oraz w Puszczy Solskiej. ",,"
1984-01-01 ","
1984-01-01 ","
128 ","
polski ",,,
"
Halifax JD 154 nie wrócił ",Władysław Boroch,"
historia ",Wydawnictwa Komunikacji i Łączności,"
8320604257 ",,,"
1984-01-01 ","
1984-01-01 ","
68 ","
polski ",,,
"
Teatr w Polsce 1918-1939 ",Stanisław Marczak-Oborski,"
teatr ",Państwowy Instytut Wydawniczy,"
8306009428 ","
Historia wielkich ośrodków teatru polskiego w latach 1918-1939 ",,"
1984-01-01 ","
1984-01-01 ","
467 ","
polski ",,,
"
Miłe złego początki ",Stanisław Ryszard Dobrowolski,"
biografia, autobiografia, pamiętnik ",Krajowa Agencja Wydawnicza,"
8303006436 ",,,"
1984-01-01 ","
1984-01-01 ","
212 ","
polski ",,,
"
Essays in Tektology: The General Science of Organization ",Aleksandr Bogdanow,"
publicystyka literacka, eseje ",Intersystems Publications,,,,"
1984-01-01 ",,,"
angielski ","
George Gorelik ",,
"
Arkusz ",Zbigniew Herbert,"
poezja ",Krąg,,"
Niniejszy zbiór wierszy wraz z wydanym równolegle przez Oficynę Literacką zbiorem „18 wierszy” ukaże się nakładem Instytutu Literackiego „Kultury” w Paryżu pod tytułem „Raport z oblężonego miasta i inne wiersze”. ",,"
1984-01-01 ","
1984-01-01 ","
26 ","
polski ",,,
"
Zdobywca ",Ivan Olbracht,"
powieść historyczna ","Wydawnictwo ""Śląsk""","
832160482X ","
 ""Utwór opiera się na ustaleniach W. H. Prescotta w dziele ""History of the Conquest of Mexico and History of the Conquest of Peru"", jest więc wiarygodny w przekazie wydarzeń, a beletryzacja narracji, zresztą bardzo umiarkowana, sprzyja czytelniczemu zbliżeniu głównych protagonistów dramatu, nadaje im wymiar ludzki, a nie jedynie wykonawców dziejowych wyroków. Tytułowym zdobywcą jest markiz don Hernando Cortez (1485-1547); Azteków reprezentują ostatni królowie Meksyku: Motekosoma II (znany w Europie jako Montezuma, panujący w latach 1503-1520), Kwitlawak (1520) i Kwawtemok (1520-1524), zamodrowany na rozkaz Corteza w czasie marszu na Honduras (...)""

(Zdzisław Niedziela) ","
Dobyvatel ","
1984-01-01 ","
1984-01-01 ","
630 ","
polski ","
Stefan Dębski ","

Książka nad wyraz genialna. Autor buduje narrację w taki sposób że wprost niemożliwe jest oderwanie się od tego tomiszcza. Wynik końcowy - epopeja prozą o podboju Meksyku. Żeby była jasność nie jestem zwolennikiem konkwistadoròw i mordowania Indian ale to tomiszcze wciąga reszty opisami przepraw przez gęstą dżunglę, starciami z tubylcami, opisem świetności Tenohtitlanu i jego upadku. Przekonajcie się sami A przyznacie mi rację. Cortez dołączy w waszej wyobraźni do herosów z opowieści fantastycznych czy mitycznych gdyż tak świetnie jest opisany jako człowiek przepełniony żądzą zdobywania i odkrywania Nowego Świata na własnych zasadach - Bez drogi powrotnej i z dużą dozą hazardu - cały czas ich życie było narażone na choroby czy starcia z hordami tubylcòw. 

Książka nad wyraz genialna. Autor buduje narrację w taki sposób że wprost niemożliwe jest oderwanie się od tego tomiszcza. Wynik końcowy - epopeja prozą o podboju Meksyku. Żeby była jasność nie jestem zwolennikiem konkwistadoròw i mordowania Indian ale to tomiszcze wciąga reszty opisami przepraw przez gęstą dżunglę, starciami z tubylcami, opisem świetności Tenohtitlanu i... 

więcej



mniej





Pokaż mimo to


",
"
To kompania idzie nasza ",Władysław Misiołek,"
militaria, wojskowość ",Wydawnictwo Ministerstwa Obrony Narodowej,"
83-11-07004-0 ","
Reportaż o codziennych realiach życia i szkolenia w kompanii „Czerwonych Beretów” Wojska Polskiego na przełomie lat 70 i 80 XX wieku. ",,"
1984-01-01 ","
1984-01-01 ","
168 ","
polski ",,,
"
Wieliczka Solny skarb ",Maria Broniowska,"
albumy ",Krajowa Agencja Wydawnicza,,,,"
1984-01-01 ","
1984-01-01 ",,"
polski ",,,
